time;open;close;high;low;volumefrom;volumeto
2016.09.09 02:00:00;0,0079;0,0079;0,0079;0,0079;0;0
2016.09.09 03:00:00;0,0079;0,0079;0,0079;0,0079;0;0
2016.09.09 04:00:00;0,0079;0,0079;0,0079;0,0079;0;0
2016.09.09 05:00:00;0,0079;0,0079;0,0079;0,0079;0;0
2016.09.09 06:00:00;0,0079;0,0079;0,0079;0,0079;0;0
2016.09.09 07:00:00;0,0079;0,0079;0,0079;0,0079;0;0
2016.09.09 08:00:00;0,0079;0,0079;0,0079;0,0079;0;0
2016.09.09 09:00:00;0,0079;0,0079;0,0079;0,0079;0;0
2016.09.09 10:00:00;0,0079;0,0079;0,0079;0,0079;0;0
2016.09.09 11:00:00;0,0079;0,0079;0,0079;0,0079;0;0
2016.09.09 12:00:00;0,0079;0,0079;0,0079;0,0079;0;0
2016.09.09 13:00:00;0,0079;0,016;0,016;0,0079;62,5;1
2016.09.09 14:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.09 15:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.09 16:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.09 17:00:00;0,016;0,016;0,016;0,016;15;0,24
2016.09.09 18:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.09 19:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.09 20:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.09 21:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.09 22:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.09 23:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 00:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 01:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 02:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 03:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 04:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 05:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 06:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 07:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 08:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 09:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 10:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 11:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 12:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 13:00:00;0,016;0,016;0,016;0,016;22,05;0,3527
2016.09.10 14:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 15:00:00;0,016;0,016;0,016;0,016;0;0
2016.09.10 16:00:00;0,016;0,016;0,016;0,016;0,004266;0,00006825
