time;open;close;high;low;volumefrom;volumeto
2017.10.02 17:00:00;0,00000071;0,00000073;0,00000081;0,00000071;112358,08;0,08147
2017.10.02 18:00:00;0,00000073;0,0000007;0,00000086;0,00000057;1302946,65;0,9321
2017.10.02 19:00:00;0,0000007;0,00000048;0,00000072;0,00000047;5457532,32;3,15
2017.10.02 20:00:00;0,00000048;0,00000048;0,00000056;0,00000044;12395439,59;6,15
2017.10.02 21:00:00;0,00000048;0,00000066;0,0000007;0,00000045;7241201,47;4,13
2017.10.02 22:00:00;0,00000066;0,0000006;0,00000099;0,00000055;7157071,64;4,9
2017.10.02 23:00:00;0,0000006;0,00000064;0,0000007;0,00000059;3856886,14;2,45
2017.10.03 00:00:00;0,00000064;0,00000068;0,00000071;0,00000062;7798524,76;5,19
2017.10.03 01:00:00;0,00000068;0,00000069;0,00000069;0,0000006;3516678,57;2,16
2017.10.03 02:00:00;0,00000069;0,00000067;0,0000008;0,00000066;3729332,25;2,69
2017.10.03 03:00:00;0,00000067;0,00000065;0,00000073;0,00000064;5012899,19;3,41
2017.10.03 04:00:00;0,00000065;0,00000061;0,00000068;0,00000056;5893081,55;3,66
2017.10.03 05:00:00;0,00000061;0,0000006;0,00000062;0,00000058;1650949,63;1,02
2017.10.03 06:00:00;0,0000006;0,00000057;0,00000063;0,00000049;12646911,07;6,78
2017.10.03 07:00:00;0,00000057;0,00000054;0,0000006;0,0000005;4031756,05;2,22
2017.10.03 08:00:00;0,00000054;0,00000055;0,00000059;0,00000053;1850188,48;1,03
2017.10.03 09:00:00;0,00000055;0,00000048;0,00000056;0,00000048;2134000,55;1,09
2017.10.03 10:00:00;0,00000048;0,00000054;0,00000056;0,00000048;1285914,98;0,7071
2017.10.03 11:00:00;0,00000054;0,0000005;0,00000056;0,0000005;1338971,64;0,737
2017.10.03 12:00:00;0,0000005;0,00000055;0,00000056;0,0000005;3329805,56;1,8
2017.10.03 13:00:00;0,00000055;0,00000054;0,00000056;0,00000051;1756728,26;0,9579
2017.10.03 14:00:00;0,00000054;0,00000051;0,00000055;0,0000005;5234706,88;2,67
2017.10.03 15:00:00;0,00000051;0,0000005;0,00000053;0,0000005;1887209,24;0,9727
2017.10.03 16:00:00;0,0000005;0,00000051;0,00000055;0,0000005;5781175,26;3,06
2017.10.03 17:00:00;0,00000051;0,0000005;0,00000053;0,0000005;898661,82;0,4641
2017.10.03 18:00:00;0,0000005;0,00000052;0,00000054;0,0000005;3101467,75;1,64
2017.10.03 19:00:00;0,00000052;0,00000052;0,00000054;0,00000051;2310076,58;1,18
2017.10.03 20:00:00;0,00000052;0,00000057;0,00000057;0,00000052;5031693,39;2,81
2017.10.03 21:00:00;0,00000057;0,00000055;0,00000057;0,00000055;4704404,76;2,67
2017.10.03 22:00:00;0,00000055;0,00000056;0,00000058;0,00000055;3152179,57;1,78
2017.10.03 23:00:00;0,00000056;0,00000059;0,00000059;0,00000055;1291759,63;0,7485
2017.10.04 00:00:00;0,00000059;0,00000061;0,00000061;0,00000054;2749227,69;1,57
2017.10.04 01:00:00;0,00000061;0,0000006;0,00000063;0,0000006;1607290,68;1
2017.10.04 02:00:00;0,0000006;0,0000006;0,0000006;0,0000006;2414,11;0,001448
2017.10.04 03:00:00;0,0000006;0,0000006;0,0000006;0,0000006;500;0,0003
2017.10.04 04:00:00;0,0000006;0,00000063;0,00000063;0,0000006;435,42;0,0002743
2017.10.04 05:00:00;0,00000063;0,00000057;0,00000063;0,00000057;4503217,71;2,62
2017.10.04 06:00:00;0,00000057;0,00000062;0,00000065;0,00000057;10546707,77;6,65
2017.10.04 07:00:00;0,00000062;0,00000064;0,00000064;0,0000006;1484563,19;0,9432
2017.10.04 08:00:00;0,00000064;0,00000066;0,00000067;0,00000062;4338200,99;2,78
2017.10.04 09:00:00;0,00000066;0,00000068;0,0000007;0,00000063;7707054,81;5,28
2017.10.04 10:00:00;0,00000068;0,00000067;0,00000068;0,00000065;2265891,42;1,53
2017.10.04 11:00:00;0,00000067;0,00000068;0,0000007;0,00000065;6239551,34;4,25
2017.10.04 12:00:00;0,00000068;0,0000007;0,00000075;0,00000064;13218450,16;9,28
2017.10.04 13:00:00;0,0000007;0,00000068;0,00000075;0,00000066;14055106,69;9,7
2017.10.04 14:00:00;0,00000068;0,00000067;0,00000068;0,0000006;6248790,42;3,86
2017.10.04 15:00:00;0,00000067;0,0000007;0,00000072;0,00000065;7743498,35;5,41
2017.10.04 16:00:00;0,0000007;0,00000078;0,0000008;0,00000067;13272475,17;9,96
2017.10.04 17:00:00;0,00000078;0,00000074;0,0000008;0,00000072;5911830,1;4,52
2017.10.04 18:00:00;0,00000074;0,00000082;0,00000083;0,00000069;7555514,41;5,82
2017.10.04 19:00:00;0,00000082;0,00000084;0,00000085;0,00000079;4074846,48;3,38
2017.10.04 20:00:00;0,00000084;0,00000078;0,00000084;0,00000074;9066312,34;7,02
2017.10.04 21:00:00;0,00000078;0,00000076;0,0000008;0,00000073;7022779,82;5,43
2017.10.04 22:00:00;0,00000076;0,00000076;0,00000081;0,00000074;13798420,13;11,01
2017.10.04 23:00:00;0,00000076;0,00000075;0,00000081;0,0000007;7439599,76;5,53
2017.10.05 00:00:00;0,00000075;0,0000008;0,0000008;0,00000075;3817478,27;2,92
2017.10.05 01:00:00;0,0000008;0,00000077;0,00000081;0,00000075;1794230,96;1,43
2017.10.05 02:00:00;0,00000077;0,0000008;0,00000081;0,00000076;2418231,7;1,93
2017.10.05 03:00:00;0,0000008;0,00000074;0,0000008;0,00000074;2116769,49;1,65
2017.10.05 04:00:00;0,00000074;0,00000072;0,00000079;0,00000072;3587508,72;2,66
2017.10.05 05:00:00;0,00000072;0,00000077;0,00000081;0,00000072;7559729,42;5,94
2017.10.05 06:00:00;0,00000077;0,00000082;0,00000084;0,00000077;7431326,65;6,17
2017.10.05 07:00:00;0,00000082;0,00000074;0,00000082;0,00000074;4485043,19;3,54
2017.10.05 08:00:00;0,00000074;0,00000071;0,0000008;0,00000068;4740181,27;3,43
2017.10.05 09:00:00;0,00000071;0,00000079;0,0000008;0,00000071;6493654,58;4,92
2017.10.05 10:00:00;0,00000079;0,0000008;0,0000008;0,00000075;1505095,37;1,18
2017.10.05 11:00:00;0,0000008;0,00000077;0,0000008;0,00000075;989599,47;0,7846
2017.10.05 12:00:00;0,00000077;0,00000072;0,00000082;0,0000007;5335753,78;4,09
2017.10.05 13:00:00;0,00000072;0,00000076;0,00000076;0,00000071;1529609,48;1,15
2017.10.05 14:00:00;0,00000076;0,00000073;0,00000078;0,00000072;2179362,54;1,61
2017.10.05 15:00:00;0,00000073;0,00000075;0,00000076;0,00000073;3154700,14;2,36
2017.10.05 16:00:00;0,00000075;0,00000076;0,0000008;0,00000074;2148555,15;1,69
2017.10.05 17:00:00;0,00000076;0,00000077;0,0000008;0,00000076;549861,7;0,4253
2017.10.05 18:00:00;0,00000077;0,0000008;0,0000008;0,00000077;1890440,24;1,48
2017.10.05 19:00:00;0,0000008;0,00000076;0,0000008;0,00000076;3707375,02;2,84
2017.10.05 20:00:00;0,00000076;0,00000079;0,00000079;0,00000076;757423,39;0,5765
2017.10.05 21:00:00;0,00000079;0,0000008;0,0000008;0,00000076;728806,78;0,5764
2017.10.05 22:00:00;0,0000008;0,00000076;0,0000008;0,00000076;979301,89;0,7671
2017.10.05 23:00:00;0,00000076;0,0000008;0,0000008;0,00000076;761140,14;0,5976
2017.10.06 00:00:00;0,0000008;0,00000078;0,0000008;0,00000075;707456,54;0,5353
2017.10.06 01:00:00;0,00000078;0,00000075;0,0000008;0,00000074;547172,11;0,4078
2017.10.06 02:00:00;0,00000075;0,00000074;0,00000078;0,00000074;871274,02;0,667
2017.10.06 03:00:00;0,00000074;0,00000075;0,00000078;0,00000074;1536413,57;1,19
2017.10.06 04:00:00;0,00000075;0,00000078;0,00000078;0,00000075;3154924,61;2,38
2017.10.06 05:00:00;0,00000078;0,00000074;0,00000078;0,00000074;361477,45;0,2722
2017.10.06 06:00:00;0,00000074;0,00000072;0,00000077;0,00000072;6711833,81;4,9
2017.10.06 07:00:00;0,00000072;0,00000071;0,00000077;0,00000071;544021,23;0,3945
2017.10.06 08:00:00;0,00000071;0,00000073;0,00000075;0,00000071;685336,55;0,4981
2017.10.06 09:00:00;0,00000073;0,0000007;0,00000073;0,0000007;1982687,8;1,4
2017.10.06 10:00:00;0,0000007;0,00000069;0,00000071;0,00000066;6137712,08;4,16
2017.10.06 11:00:00;0,00000069;0,00000068;0,00000069;0,00000066;2919738,9;1,96
2017.10.06 12:00:00;0,00000068;0,00000068;0,00000072;0,00000067;1350279,67;0,9338
2017.10.06 13:00:00;0,00000068;0,00000068;0,00000071;0,00000068;1135286,28;0,7941
2017.10.06 14:00:00;0,00000068;0,00000067;0,0000007;0,00000066;869484,8;0,5803
2017.10.06 15:00:00;0,00000067;0,00000069;0,0000007;0,00000067;677853,3;0,4724
2017.10.06 16:00:00;0,00000069;0,00000068;0,0000007;0,00000066;760915,69;0,5135
2017.10.06 17:00:00;0,00000068;0,00000068;0,00000068;0,00000064;21234299,31;13,84
2017.10.06 18:00:00;0,00000068;0,00000063;0,0000007;0,00000063;2001200,73;1,36
2017.10.06 19:00:00;0,00000063;0,00000064;0,00000067;0,00000061;1157643,06;0,7267
2017.10.06 20:00:00;0,00000064;0,00000067;0,00000073;0,00000064;2402122,19;1,66
2017.10.06 21:00:00;0,00000067;0,00000065;0,00000069;0,00000064;1816658,37;1,19
2017.10.06 22:00:00;0,00000065;0,00000071;0,00000071;0,00000064;897433,82;0,6352
2017.10.06 23:00:00;0,00000071;0,00000069;0,00000071;0,00000066;2753153,07;1,93
2017.10.07 00:00:00;0,00000069;0,00000067;0,0000007;0,00000067;574411,22;0,3911
2017.10.07 01:00:00;0,00000067;0,00000069;0,00000069;0,00000067;1619894,95;1,09
2017.10.07 02:00:00;0,00000069;0,00000069;0,00000072;0,00000069;717781,21;0,5062
2017.10.07 03:00:00;0,00000069;0,00000068;0,00000071;0,00000067;3523097;2,43
2017.10.07 04:00:00;0,00000068;0,00000063;0,00000069;0,00000063;2426032,5;1,6
2017.10.07 05:00:00;0,00000063;0,00000066;0,00000068;0,00000063;1086078,7;0,7343
2017.10.07 06:00:00;0,00000066;0,00000064;0,00000067;0,00000064;1521189,43;0,998
2017.10.07 07:00:00;0,00000064;0,00000065;0,00000067;0,00000057;12807717,54;7,62
2017.10.07 08:00:00;0,00000065;0,00000062;0,00000065;0,0000006;1801245,43;1,15
2017.10.07 09:00:00;0,00000062;0,0000007;0,0000007;0,00000062;1429766,2;0,9328
2017.10.07 10:00:00;0,0000007;0,00000064;0,0000007;0,00000061;823088,57;0,5317
2017.10.07 11:00:00;0,00000064;0,00000062;0,00000068;0,00000061;2199663,41;1,42
2017.10.07 12:00:00;0,00000062;0,00000061;0,00000065;0,00000061;266908,67;0,1661
2017.10.07 13:00:00;0,00000061;0,00000063;0,00000063;0,00000061;310018,27;0,1896
2017.10.07 14:00:00;0,00000063;0,00000062;0,00000063;0,0000006;2134794,67;1,29
2017.10.07 15:00:00;0,00000062;0,00000061;0,00000064;0,00000061;234191,25;0,1487
2017.10.07 16:00:00;0,00000061;0,00000062;0,00000064;0,0000006;1132780,53;0,6988
2017.10.07 17:00:00;0,00000062;0,00000063;0,00000063;0,00000057;4649115,07;2,72
2017.10.07 18:00:00;0,00000063;0,00000063;0,00000063;0,0000006;138967,5;0,08733
2017.10.07 19:00:00;0,00000063;0,00000064;0,00000064;0,00000062;361180,52;0,2279
2017.10.07 20:00:00;0,00000064;0,00000064;0,00000064;0,00000064;0;0
2017.10.07 21:00:00;0,00000064;0,00000064;0,00000065;0,00000059;843055,11;0,5312
2017.10.07 22:00:00;0,00000064;0,0000006;0,00000064;0,00000058;2431873,78;1,46
2017.10.07 23:00:00;0,0000006;0,00000057;0,00000062;0,00000051;4945816,27;2,71
2017.10.08 00:00:00;0,00000057;0,00000055;0,00000058;0,0000005;4924534,88;2,54
2017.10.08 01:00:00;0,00000055;0,00000055;0,00000056;0,00000049;1931457,73;0,9976
2017.10.08 02:00:00;0,00000055;0,00000053;0,00000055;0,00000052;430008,12;0,2325
2017.10.08 03:00:00;0,00000053;0,00000053;0,00000054;0,00000053;976259,44;0,5271
2017.10.08 04:00:00;0,00000053;0,00000053;0,00000055;0,00000052;1287657,23;0,6857
2017.10.08 05:00:00;0,00000053;0,00000055;0,00000055;0,00000053;334500,84;0,1842
2017.10.08 06:00:00;0,00000055;0,00000053;0,00000057;0,00000053;453063,34;0,2583
2017.10.08 07:00:00;0,00000053;0,00000055;0,00000055;0,00000053;421044,38;0,2319
2017.10.08 08:00:00;0,00000055;0,00000057;0,00000062;0,00000054;2500806,63;1,42
2017.10.08 09:00:00;0,00000057;0,00000063;0,00000064;0,00000057;2043420,82;1,28
2017.10.08 10:00:00;0,00000063;0,0000006;0,00000063;0,00000059;516765,08;0,3102
2017.10.08 11:00:00;0,0000006;0,00000063;0,00000064;0,00000058;1676046,27;1,03
2017.10.08 12:00:00;0,00000063;0,00000058;0,00000071;0,00000058;2521136,92;1,59
2017.10.08 13:00:00;0,00000059;0,00000058;0,00000062;0,00000058;289335,96;0,175
2017.10.08 14:00:00;0,00000058;0,00000057;0,00000061;0,00000057;141540,59;0,08342
2017.10.08 15:00:00;0,00000057;0,00000058;0,0000006;0,00000057;634187,37;0,3691
2017.10.08 16:00:00;0,00000058;0,00000056;0,00000059;0,00000056;4193176,2;2,51
2017.10.08 17:00:00;0,00000056;0,00000057;0,00000059;0,00000054;899131,85;0,5094
2017.10.08 18:00:00;0,00000057;0,00000057;0,0000006;0,00000053;1621955,9;0,8927
2017.10.08 19:00:00;0,00000057;0,00000055;0,00000058;0,00000054;222512,75;0,1255
2017.10.08 20:00:00;0,00000055;0,00000056;0,00000059;0,00000055;1608467,37;0,9342
2017.10.08 21:00:00;0,00000056;0,00000059;0,00000059;0,00000055;1002076,58;0,5606
2017.10.08 22:00:00;0,00000059;0,00000054;0,00000059;0,00000054;877169,4;0,4987
2017.10.08 23:00:00;0,00000054;0,00000053;0,00000057;0,00000051;2250634,46;1,18
2017.10.09 00:00:00;0,00000053;0,00000053;0,00000056;0,00000052;374294,52;0,197
2017.10.09 01:00:00;0,00000053;0,00000051;0,00000053;0,0000005;1180431,2;0,6032
2017.10.09 02:00:00;0,00000051;0,00000055;0,00000055;0,0000005;172893,32;0,09135
2017.10.09 03:00:00;0,00000055;0,00000054;0,0000006;0,00000046;3527564,44;1,48
2017.10.09 04:00:00;0,00000054;0,00000052;0,00000056;0,0000005;2284319,16;1,17
2017.10.09 05:00:00;0,00000052;0,00000053;0,00000055;0,00000052;37244,03;0,01992
2017.10.09 06:00:00;0,00000053;0,00000055;0,00000061;0,00000053;165711,62;0,09675
2017.10.09 07:00:00;0,00000055;0,00000051;0,00000055;0,00000051;1191883,29;0,6248
2017.10.09 08:00:00;0,00000051;0,00000052;0,00000053;0,00000031;16955710,62;7,49
2017.10.09 09:00:00;0,00000052;0,00000051;0,00000053;0,00000041;3118797,77;1,43
2017.10.09 10:00:00;0,00000051;0,00000046;0,00000051;0,00000045;75936,24;0,03487
2017.10.09 11:00:00;0,00000046;0,00000048;0,0000005;0,00000046;105779,79;0,05199
2017.10.09 12:00:00;0,00000048;0,00000045;0,00000049;0,00000041;2347960,75;1,14
2017.10.09 13:00:00;0,00000045;0,00000045;0,00000046;0,00000044;1830205,31;0,8155
2017.10.09 14:00:00;0,00000045;0,00000044;0,00000048;0,00000044;910611,37;0,4181
