time;open;close;high;low;volumefrom;volumeto
2016.10.28 18:00:00;2500;490;2600;2,05;0,629;29,11
2016.10.28 19:00:00;490;101;3300;15;4,18;1404
2016.10.28 20:00:00;101;27,06;175,07;18,08;15,48;601,1
2016.10.28 21:00:00;27,06;18,78;36,07;17,97;11,15;295,49
2016.10.28 22:00:00;18,78;28,15;29,25;15,59;12,68;260,84
2016.10.28 23:00:00;28,15;27,95;37,23;21,04;17,85;530,32
2016.10.29 00:00:00;27,95;20,07;31,5;17,4;21,63;496,11
2016.10.29 01:00:00;20,07;15,4;20,49;15,37;12,2;218,83
2016.10.29 02:00:00;15,4;8,91;15,68;8,31;22,49;263,27
2016.10.29 03:00:00;8,91;9,17;12,3;8,11;13,79;137,99
2016.10.29 04:00:00;9,17;12,96;13,15;8,54;5,73;58,54
2016.10.29 05:00:00;12,96;11,13;15,61;10,08;17,64;222,89
2016.10.29 06:00:00;11,13;10,02;10,75;9,02;3,05;30,28
2016.10.29 07:00:00;10,02;7,31;10,07;7,06;12,94;111,59
2016.10.29 08:00:00;7,31;7,16;7,58;5,46;24,05;153,19
2016.10.29 09:00:00;7,16;7,64;8,44;5,58;18,32;127,18
2016.10.29 10:00:00;7,64;9,59;10,95;7,65;24,6;217,3
2016.10.29 11:00:00;9,59;8,84;9,67;7,99;15,74;142,45
2016.10.29 12:00:00;8,84;7,87;8,87;7,57;10,65;86,08
2016.10.29 13:00:00;7,87;7,71;7,93;6,67;12,75;91,13
2016.10.29 14:00:00;7,71;6,85;8,09;6,68;10,45;74,89
2016.10.29 15:00:00;6,85;6,28;6,92;6,01;14,09;90,76
2016.10.29 16:00:00;6,28;7,38;8,91;6,14;24,65;181,69
2016.10.29 17:00:00;7,38;6,59;7,59;6,53;14,12;98,95
2016.10.29 18:00:00;6,59;5,84;6,85;5,67;20,52;127,7
2016.10.29 19:00:00;5,84;5,43;6,01;5,14;21,14;115,3
2016.10.29 20:00:00;5,43;5,5;6,2;5,24;16,96;96,92
2016.10.29 21:00:00;5,5;4,16;5,86;4,11;31,16;158,41
2016.10.29 22:00:00;4,16;3,65;4,27;3,13;46,71;167,29
2016.10.29 23:00:00;3,65;2,8;3,72;2,78;33,34;103,7
2016.10.30 00:00:00;2,8;2,84;2,95;2,69;21,34;59,97
2016.10.30 01:00:00;2,84;2,76;2,93;2,68;20,57;57,14
2016.10.30 02:00:00;2,76;2,34;2,76;2,11;35,36;86,54
2016.10.30 03:00:00;2,34;1,97;2,61;1,97;21,83;49,01
2016.10.30 04:00:00;1,97;1,77;2,24;1,74;24,59;47,82
2016.10.30 05:00:00;1,77;1,79;2,01;1,53;18,92;32,21
2016.10.30 06:00:00;1,79;1,8;2,19;1,78;19,6;39,32
2016.10.30 07:00:00;1,8;1,19;1,92;1,16;44,57;66,28
2016.10.30 08:00:00;1,19;1,2;1,44;1,13;43,26;54,79
2016.10.30 09:00:00;1,2;1,22;1,36;1,18;29,23;36,23
2016.10.30 10:00:00;1,22;1,37;1,57;1,21;52,36;72,41
2016.10.30 11:00:00;1,37;1,44;1,76;1,34;56,32;85,35
2016.10.30 12:00:00;1,44;1,28;1,49;1,26;37,74;51,21
2016.10.30 13:00:00;1,28;1,21;1,29;1,17;45,7;55,97
2016.10.30 14:00:00;1,21;1,28;1,36;1,19;36,7;46,52
2016.10.30 15:00:00;1,28;1,17;1,32;1,16;26,51;32,44
2016.10.30 16:00:00;1,17;1,03;1,23;1,03;78,13;86,37
2016.10.30 17:00:00;1,03;1,03;1,16;1,01;38,45;40,53
2016.10.30 18:00:00;1,03;0,8147;1,07;0,7813;68,21;62,19
2016.10.30 19:00:00;0,8147;0,8664;0,9125;0,8008;47,53;40,46
2016.10.30 20:00:00;0,8664;0,8117;0,8733;0,8083;29,76;24,7
2016.10.30 21:00:00;0,8117;0,7587;0,8296;0,7079;55,7;42,88
2016.10.30 22:00:00;0,7587;0,8791;0,9327;0,7142;45,49;34,78
2016.10.30 23:00:00;0,8791;0,7643;0,9988;0,7472;72,65;64,31
2016.10.31 00:00:00;0,7643;0,8365;0,8713;0,7534;27,21;22,8
2016.10.31 01:00:00;0,8365;0,8413;0,8925;0,7951;24,51;20,5
2016.10.31 02:00:00;0,8413;0,7623;0,873;0,7596;43,07;35,48
2016.10.31 03:00:00;0,7623;0,6779;0,7791;0,6433;50,13;35,03
2016.10.31 04:00:00;0,6779;0,7019;0,7105;0,6772;8,09;5,62
2016.10.31 05:00:00;0,7019;0,8088;0,8102;0,6944;17,25;12,92
2016.10.31 06:00:00;0,8088;0,7198;0,7834;0,7008;11,78;8,7
2016.10.31 07:00:00;0,7198;0,6955;0,7437;0,694;27,33;19,53
2016.10.31 08:00:00;0,6955;0,6883;0,7215;0,6816;22,74;15,84
2016.10.31 09:00:00;0,6883;0,7927;0,8246;0,6883;43,12;32,87
2016.10.31 10:00:00;0,7927;0,8002;0,8371;0,7575;33,5;26,91
2016.10.31 11:00:00;0,8002;0,8104;0,8297;0,7952;33,44;26,93
2016.10.31 12:00:00;0,8104;0,7816;0,8025;0,7585;46,53;36,35
2016.10.31 13:00:00;0,7816;0,7819;0,83;0,7722;41,49;33,35
2016.10.31 14:00:00;0,7819;0,6923;0,794;0,6846;45,81;33,66
2016.10.31 15:00:00;0,6923;0,7289;0,7715;0,6933;65,35;48,07
2016.10.31 16:00:00;0,7289;0,7379;0,7681;0,7094;51,04;37,88
2016.10.31 17:00:00;0,7379;0,7274;0,7379;0,7151;25,51;18,43
2016.10.31 18:00:00;0,7274;0,8203;0,9428;0,7281;65,72;53,93
2016.10.31 19:00:00;0,8203;1,26;1,78;0,806;248,91;281,76
2016.10.31 20:00:00;1,26;2,7;2,72;1,25;451,82;836
2016.10.31 21:00:00;2,7;2,63;3,61;2,12;555,22;1554,78
2016.10.31 22:00:00;2,63;3,07;3,37;2,15;433,98;1265,03
2016.10.31 23:00:00;3,07;2,34;3,08;2,07;297,87;751
2016.11.01 00:00:00;2,34;2,18;2,5;2,14;134,08;301,71
2016.11.01 01:00:00;2,18;1,9;2,3;1,69;103,91;201,42
2016.11.01 02:00:00;1,9;1,78;2,24;1,74;99,49;190,93
2016.11.01 03:00:00;1,78;1,74;1,8;1,6;62,01;106,12
2016.11.01 04:00:00;1,74;2,37;2,53;1,73;170,73;376,71
2016.11.01 05:00:00;2,37;2,14;2,37;2,01;69,55;151,45
2016.11.01 06:00:00;2,14;2,13;2,32;2,06;36,94;79
2016.11.01 07:00:00;2,13;2,19;2,49;2,14;83,34;189,78
2016.11.01 08:00:00;2,19;2,32;2,34;1,83;138,78;293,79
2016.11.01 09:00:00;2,32;2,54;2,6;2,24;196,6;476,53
2016.11.01 10:00:00;2,54;2,57;2,66;2,33;161,54;406,88
2016.11.01 11:00:00;2,57;2,61;2,82;2,51;153,74;415,33
2016.11.01 12:00:00;2,61;2,58;2,72;2,38;101,29;259,2
2016.11.01 13:00:00;2,58;2,64;2,75;2,52;97,56;257,61
2016.11.01 14:00:00;2,64;2,22;2,68;2,17;134,14;326,47
2016.11.01 15:00:00;2,22;2,31;2,52;2,14;176,24;407,64
2016.11.01 16:00:00;2,31;2,05;2,37;2,03;118,41;261,99
2016.11.01 17:00:00;2,05;2,13;2,21;2,02;83,14;175,43
2016.11.01 18:00:00;2,13;2,22;2,26;2,03;65,93;141,2
2016.11.01 19:00:00;2,22;2,16;2,28;2,05;65,04;140,84
2016.11.01 20:00:00;2,16;1,96;2,2;1,96;49,67;102,93
2016.11.01 21:00:00;1,96;1,88;2,01;1,81;136,68;259,11
2016.11.01 22:00:00;1,88;2,01;2,12;1,83;98;192,45
2016.11.01 23:00:00;2,01;1,87;2,05;1,85;60,09;115,74
2016.11.02 00:00:00;1,87;1,73;1,91;1,73;72,73;130,98
2016.11.02 01:00:00;1,73;1,54;1,86;1,44;169,52;279,09
2016.11.02 02:00:00;1,54;1,52;1,65;1,37;182,51;270,1
2016.11.02 03:00:00;1,52;1,51;1,59;1,48;59,12;91,06
2016.11.02 04:00:00;1,51;1,39;1,53;1,37;52,71;76,88
2016.11.02 05:00:00;1,39;1,35;1,41;1,31;54,69;73,73
2016.11.02 06:00:00;1,35;1,58;1,61;1,36;49,59;72,91
2016.11.02 07:00:00;1,58;1,51;1,74;1,46;115,74;184
2016.11.02 08:00:00;1,51;1,48;1,53;1,43;37,23;54,73
2016.11.02 09:00:00;1,48;1,54;1,68;1,46;60,31;93,64
2016.11.02 10:00:00;1,54;1,64;1,7;1,52;112,56;183,13
