time;open;close;high;low;volumefrom;volumeto
2017.12.30 00:00:00;0,4955;0,535;0,535;0,481;698962,34;367944,49
2017.12.30 01:00:00;0,535;0,508;0,5429;0,503;802513,66;425713,38
2017.12.30 02:00:00;0,508;0,46;0,5081;0,42;1660173,31;772479,4
2017.12.30 03:00:00;0,46;0,4736;0,5;0,44;664153,92;312539,67
2017.12.30 04:00:00;0,4736;0,461;0,4922;0,46;410252,84;194670,45
2017.12.30 05:00:00;0,461;0,4887;0,4899;0,461;178701,01;85249,65
2017.12.30 06:00:00;0,4887;0,51;0,525;0,4887;1020527,6;524491,03
2017.12.30 07:00:00;0,51;0,5806;0,65;0,51;1509340,52;881736,73
2017.12.30 08:00:00;0,5806;0,6237;0,6237;0,5687;1833725,44;1094429,8
2017.12.30 09:00:00;0,6237;0,64;0,6941;0,6002;2567510,14;1690744,33
2017.12.30 10:00:00;0,64;0,608;0,664;0,572;1057630,6;646350,2
2017.12.30 11:00:00;0,608;0,629;0,65;0,5879;669513,54;421276,7
2017.12.30 12:00:00;0,629;0,58;0,629;0,551;470585,98;274515,35
2017.12.30 13:00:00;0,58;0,575;0,58;0,52;1068681,33;584818,87
2017.12.30 14:00:00;0,575;0,5915;0,61;0,565;899507,43;528374
2017.12.30 15:00:00;0,5915;0,578;0,6156;0,5753;1010757,31;605251,64
2017.12.30 16:00:00;0,578;0,558;0,578;0,5433;1163019,11;650404,71
2017.12.30 17:00:00;0,558;0,613;0,6156;0,558;648079,63;379009,59
2017.12.30 18:00:00;0,613;0,625;0,625;0,584;1119674,09;681209,59
2017.12.30 19:00:00;0,625;0,6679;0,68;0,6199;1228095,89;793302,82
2017.12.30 20:00:00;0,6679;0,6535;0,6679;0,6198;735976,29;472185,88
2017.12.30 21:00:00;0,6535;0,631;0,658;0,623;446946,16;284232,96
2017.12.30 22:00:00;0,631;0,6188;0,656;0,549;1557297,84;929052,86
2017.12.30 23:00:00;0,6188;0,59;0,625;0,5882;696635,71;416876,61
2017.12.31 00:00:00;0,59;0,7;0,74;0,59;2346058,16;1563502,84
2017.12.31 01:00:00;0,7;0,7128;0,73;0,669;1444061,59;1023414,19
2017.12.31 02:00:00;0,7128;0,683;0,7128;0,672;752683,38;517499,57
2017.12.31 03:00:00;0,683;0,6493;0,6963;0,636;779147,76;516123,85
2017.12.31 04:00:00;0,6493;0,672;0,688;0,6328;867844,02;578892,52
2017.12.31 05:00:00;0,672;0,661;0,687;0,661;369143,55;249641,82
2017.12.31 06:00:00;0,661;0,6516;0,6738;0,6501;409900,49;270328,19
2017.12.31 07:00:00;0,6516;0,685;0,7;0,6516;406947,51;277799,33
2017.12.31 08:00:00;0,685;0,681;0,691;0,67;278121,07;189119
2017.12.31 09:00:00;0,681;0,676;0,681;0,6581;403115,77;270667,42
2017.12.31 10:00:00;0,676;0,66;0,676;0,639;1338607,15;880029,38
2017.12.31 11:00:00;0,66;0,6819;0,682;0,66;180260,36;121942,88
2017.12.31 12:00:00;0,6819;0,685;0,71;0,675;396110,15;275310,23
2017.12.31 13:00:00;0,685;0,72;0,734;0,685;407272,15;291971,39
2017.12.31 14:00:00;0,72;0,7079;0,721;0,698;375785,27;267704,98
2017.12.31 15:00:00;0,7079;0,7;0,7079;0,678;536047,61;373133,35
2017.12.31 16:00:00;0,7;0,7127;0,7205;0,695;517880,62;367526,29
2017.12.31 17:00:00;0,7127;0,7243;0,7283;0,7;302266,39;216168,59
2017.12.31 18:00:00;0,7243;0,7215;0,7283;0,7187;254914,54;184647,19
2017.12.31 19:00:00;0,7215;0,723;0,7283;0,7122;334665,39;240602,79
2017.12.31 20:00:00;0,723;0,721;0,73;0,719;79254,33;57602,24
2017.12.31 21:00:00;0,721;0,718;0,7299;0,715;120942,53;86947,05
2017.12.31 22:00:00;0,718;0,7176;0,7291;0,7176;88686,07;63886,43
2017.12.31 23:00:00;0,7176;0,71;0,718;0,7;258683,64;183967,1
2018.01.01 00:00:00;0,71;0,7098;0,715;0,689;473305,27;332781,98
2018.01.01 01:00:00;0,7098;0,67;0,7098;0,67;504784,41;343653,03
2018.01.01 02:00:00;0,67;0,6869;0,69;0,67;584416,22;400620,73
2018.01.01 03:00:00;0,6869;0,683;0,7;0,682;168860,01;116286,46
2018.01.01 04:00:00;0,683;0,697;0,6975;0,675;132472,52;90012,56
2018.01.01 05:00:00;0,697;0,683;0,6975;0,675;196955,92;134221,12
2018.01.01 06:00:00;0,683;0,7048;0,7092;0,681;180475,75;124740,15
2018.01.01 07:00:00;0,7048;0,681;0,7092;0,681;305442,7;213252,63
2018.01.01 08:00:00;0,681;0,7019;0,71;0,681;184551,45;128655,25
2018.01.01 09:00:00;0,7019;0,7;0,71;0,69;112122,66;78783,34
2018.01.01 10:00:00;0,7;0,7;0,702;0,69;59940,99;41846,48
2018.01.01 11:00:00;0,7;0,6875;0,7;0,6724;279420,69;189311,99
2018.01.01 12:00:00;0,6875;0,68;0,7;0,67;137008,82;93824,52
2018.01.01 13:00:00;0,68;0,655;0,6806;0,655;350549,63;232676,06
2018.01.01 14:00:00;0,655;0,6771;0,6806;0,632;454467,29;294933,18
2018.01.01 15:00:00;0,6771;0,6652;0,68;0,6613;164775,35;111007,95
2018.01.01 16:00:00;0,6652;0,6771;0,6771;0,66;110436,93;73652,66
2018.01.01 17:00:00;0,6771;0,6806;0,6806;0,662;335326,22;227654,92
2018.01.01 18:00:00;0,6806;0,675;0,6806;0,671;56421,76;38179,34
2018.01.01 19:00:00;0,675;0,6806;0,6806;0,675;396930,64;270145,91
2018.01.01 20:00:00;0,6806;0,6806;0,6806;0,6751;3688111,52;2510224,2
2018.01.01 21:00:00;0,6806;0,6806;0,6806;0,68;3011407,94;2049665,35
2018.01.01 22:00:00;0,6806;0,6806;0,6806;0,6751;1481755,37;1008365,31
2018.01.01 23:00:00;0,6806;0,7022;0,704;0,68;437603,87;300444,95
2018.01.02 00:00:00;0,7022;0,7109;0,7176;0,69;262358,55;185618,66
2018.01.02 01:00:00;0,7109;0,6995;0,725;0,6995;487701,54;349925,26
2018.01.02 02:00:00;0,6995;0,71;0,7208;0,694;146516,3;102217,19
2018.01.02 03:00:00;0,71;0,705;0,71;0,69;140544,51;98233,71
2018.01.02 04:00:00;0,705;0,69;0,7094;0,68;163619,89;112537,41
2018.01.02 05:00:00;0,69;0,681;0,7;0,68;133347,26;91335,79
2018.01.02 06:00:00;0,681;0,69;0,695;0,675;146465,23;100036,24
2018.01.02 07:00:00;0,69;0,7;0,705;0,6827;210997,34;146170,25
2018.01.02 08:00:00;0,7;0,73;0,73;0,691;563728,78;404068,4
2018.01.02 09:00:00;0,73;0,75;0,8;0,729;730787,84;559085,5
2018.01.02 10:00:00;0,75;0,7904;0,798;0,742;564926,59;436718,81
2018.01.02 11:00:00;0,7904;0,76;0,798;0,7421;445102,06;344160,13
2018.01.02 12:00:00;0,76;0,7576;0,774;0,7468;493956,09;375331,84
2018.01.02 13:00:00;0,7576;0,7718;0,78;0,7438;385811,9;294774,65
2018.01.02 14:00:00;0,7718;0,765;0,79;0,7596;305473,14;234569,15
2018.01.02 15:00:00;0,765;0,765;0,7794;0,7569;242098;185755,28
2018.01.02 16:00:00;0,765;0,76;0,774;0,7569;184042,03;140442,82
2018.01.02 17:00:00;0,76;0,7657;0,78;0,756;210698,12;161836,81
2018.01.02 18:00:00;0,7657;0,749;0,789;0,737;803054,4;613748,5
2018.01.02 19:00:00;0,749;0,76;0,7656;0,7;948871,34;693404,66
2018.01.02 20:00:00;0,76;0,76;0,765;0,7355;395448,28;296350,39
2018.01.02 21:00:00;0,76;0,7825;0,7875;0,75;269154,95;207750,74
2018.01.02 22:00:00;0,7825;0,756;0,7825;0,7543;128855,04;98944,78
2018.01.02 23:00:00;0,756;0,762;0,78;0,756;77110,21;59449,89
2018.01.03 00:00:00;0,762;0,7942;0,8127;0,7601;502475,19;396542,35
2018.01.03 01:00:00;0,7942;0,849;0,8706;0,7941;557230,22;472119,69
2018.01.03 02:00:00;0,849;0,855;0,871;0,822;393888,81;334869,65
2018.01.03 03:00:00;0,855;0,872;0,8731;0,855;315236,34;272932,27
2018.01.03 04:00:00;0,872;0,883;0,91;0,872;735039,95;656246,93
2018.01.03 05:00:00;0,883;0,9039;0,91;0,88;262997,41;234720,83
2018.01.03 06:00:00;0,9039;0,9;0,9101;0,89;194548,95;175240,06
2018.01.03 07:00:00;0,9;0,95;0,9782;0,89;753806,36;713862,11
2018.01.03 08:00:00;0,95;0,957;0,9776;0,95;484947,14;466023,64
2018.01.03 09:00:00;0,957;0,997;0,999;0,9215;880189,48;842203,34
2018.01.03 10:00:00;0,999;0,91;1;0,8742;1319689,67;1226508,85
2018.01.03 11:00:00;0,91;0,97;0,9776;0,909;539447,01;513626,33
2018.01.03 12:00:00;0,97;0,973;0,988;0,951;774547,26;750048,85
2018.01.03 13:00:00;0,973;0,985;0,985;0,951;150758,96;146549,71
2018.01.03 14:00:00;0,985;1,06;1,06;0,983;838476,18;848229,69
2018.01.03 15:00:00;1,06;1,04;1,08;1,02;1072060,3;1131771,77
2018.01.03 16:00:00;1,04;1;1,04;0,982;850513,17;857922,96
2018.01.03 17:00:00;1;1,04;1,06;1;677355,76;705189,32
2018.01.03 18:00:00;1,04;1,06;1,07;1,03;671575,1;708296,28
2018.01.03 19:00:00;1,06;1,06;1,09;1,05;515747,73;551755,55
2018.01.03 20:00:00;1,06;1,08;1,09;1,04;415650,94;440557,77
