time;open;close;high;low;volumefrom;volumeto
2016.02.10 01:00:00;0,003867;0,00395;0,0045;0,003755;527,24;2,09
2016.02.10 02:00:00;0,00395;0,004618;0,00488;0,00391;1758,94;7,6
2016.02.10 03:00:00;0,004618;0,003911;0,004618;0,003884;633,99;2,6
2016.02.10 04:00:00;0,003911;0,0043;0,0043;0,0039;344,62;1,36
2016.02.10 05:00:00;0,0043;0,0043;0,00475;0,0043;194,11;0,8492
2016.02.10 06:00:00;0,0043;0,0042;0,00473;0,0042;525,82;2,4
2016.02.10 07:00:00;0,0042;0,0037;0,0043;0,00342;4093,41;15,16
2016.02.10 08:00:00;0,0037;0,0042;0,0042;0,0035;343,07;1,36
2016.02.10 09:00:00;0,0042;0,004199;0,0042;0,0041;103,09;0,4324
2016.02.10 10:00:00;0,004199;0,004;0,004199;0,003899;703,89;2,82
2016.02.10 11:00:00;0,004;0,00351;0,004;0,003501;1054,47;3,91
2016.02.10 12:00:00;0,00351;0,00352;0,00375;0,003396;1071,15;3,77
2016.02.10 13:00:00;0,00352;0,003521;0,003714;0,00351;235,12;0,8336
2016.02.10 14:00:00;0,003521;0,0034;0,0037;0,003;1798,37;6,02
2016.02.10 15:00:00;0,0034;0,003;0,0034;0,00255;2850,36;8,25
2016.02.10 16:00:00;0,003;0,0034;0,00345;0,002925;2461,05;7,99
2016.02.10 17:00:00;0,0034;0,002719;0,0034;0,00271;3261,92;9,14
2016.02.10 18:00:00;0,002719;0,0027;0,002909;0,00261;5390,22;14,55
2016.02.10 19:00:00;0,0027;0,00268;0,002889;0,002501;5106,1;13,07
2016.02.10 20:00:00;0,00268;0,00259;0,00268;0,0025;1908,17;4,85
2016.02.10 21:00:00;0,00259;0,0019;0,00259;0,001856;7504,59;15,59
2016.02.10 22:00:00;0,0019;0,00281;0,00288;0,0019;6128,53;15,16
2016.02.10 23:00:00;0,00281;0,00271;0,0035;0,00271;3333,66;9,72
2016.02.11 00:00:00;0,00271;0,0024;0,00271;0,0023;660,9;1,63
2016.02.11 01:00:00;0,0024;0,00246;0,00269;0,00232;564,15;1,45
2016.02.11 02:00:00;0,00246;0,00268;0,002957;0,0024;844,97;2,39
2016.02.11 03:00:00;0,00268;0,00251;0,002813;0,0025;427,26;1,08
2016.02.11 04:00:00;0,00251;0,002732;0,002811;0,00251;65,35;0,1781
2016.02.11 05:00:00;0,002732;0,002741;0,00281;0,002689;67,69;0,1862
2016.02.11 06:00:00;0,002741;0,00294;0,00294;0,002568;760,9;2,11
2016.02.11 07:00:00;0,00294;0,00294;0,00294;0,0027;630,32;1,84
2016.02.11 08:00:00;0,00294;0,002702;0,00294;0,002701;1294,13;3,63
2016.02.11 09:00:00;0,002702;0,002865;0,00293;0,002702;689,94;2
2016.02.11 10:00:00;0,002865;0,002865;0,002925;0,002865;359,62;1,04
2016.02.11 11:00:00;0,002865;0,002855;0,002923;0,002855;423,29;1,21
2016.02.11 12:00:00;0,002855;0,00285;0,002921;0,00285;450,66;1,29
2016.02.11 13:00:00;0,00285;0,002779;0,002915;0,002779;995,86;2,82
2016.02.11 14:00:00;0,002779;0,003;0,00305;0,002779;535,17;1,58
2016.02.11 15:00:00;0,003;0,003087;0,00326;0,00291;788,51;2,46
2016.02.11 16:00:00;0,003087;0,003015;0,003087;0,00295;896,03;2,68
2016.02.11 17:00:00;0,003015;0,003099;0,00328;0,002951;1543,68;4,8
2016.02.11 18:00:00;0,003099;0,00325;0,00325;0,003;398,93;1,29
2016.02.11 19:00:00;0,00325;0,0033;0,00335;0,00315;359,77;1,16
2016.02.11 20:00:00;0,0033;0,003022;0,0033;0,003;1209,3;3,74
2016.02.11 21:00:00;0,003022;0,0034;0,00349;0,003022;1006,99;3,26
2016.02.11 22:00:00;0,0034;0,0034;0,00349;0,003127;2876,99;9,36
2016.02.11 23:00:00;0,0034;0,00337;0,0034;0,003022;1455,69;4,6
2016.02.12 00:00:00;0,00337;0,00308;0,00337;0,00308;418,69;1,3
2016.02.12 01:00:00;0,0031;0,003109;0,003109;0,003021;1482,17;4,53
2016.02.12 02:00:00;0,003109;0,00338;0,00338;0,003104;1134,71;3,7
2016.02.12 03:00:00;0,00338;0,003298;0,00352;0,003298;1244,76;4,33
2016.02.12 04:00:00;0,003298;0,003277;0,00351;0,003277;219,27;0,7278
2016.02.12 05:00:00;0,003277;0,003255;0,003347;0,003255;160,2;0,5295
2016.02.12 06:00:00;0,003255;0,003352;0,003459;0,003169;441,42;1,45
2016.02.12 07:00:00;0,003352;0,0033;0,003459;0,00322;123,79;0,4235
2016.02.12 08:00:00;0,0033;0,00331;0,00341;0,0033;65,52;0,2182
2016.02.12 09:00:00;0,00331;0,00355;0,00355;0,00331;804,89;2,82
2016.02.12 10:00:00;0,00355;0,0037;0,0037;0,0034;999,84;3,47
2016.02.12 11:00:00;0,0037;0,0038;0,00387;0,0034;1575,81;5,88
2016.02.12 12:00:00;0,0038;0,0036;0,00419;0,0035;2843,08;11,12
2016.02.12 13:00:00;0,0036;0,0037;0,00379;0,003501;316,14;1,18
2016.02.12 14:00:00;0,0037;0,00358;0,003984;0,00358;726,94;2,73
2016.02.12 15:00:00;0,00358;0,0037;0,0038;0,00335;2588,41;9,24
2016.02.12 16:00:00;0,0037;0,0035;0,0037;0,0035;1042,48;3,67
2016.02.12 17:00:00;0,0035;0,00335;0,003669;0,00335;1078,9;3,75
