time;open;close;high;low;volumefrom;volumeto
2017.10.11 07:00:00;0,0003;0,0001172;0,0003;0,0001152;100927;11,8
2017.10.11 08:00:00;0,0001172;0,000117;0,0001186;0,0001167;104203;12,23
2017.10.11 09:00:00;0,000117;0,0001173;0,0001181;0,0001167;80520;9,46
2017.10.11 10:00:00;0,0001173;0,0001168;0,0001176;0,0001156;70400;8,24
2017.10.11 11:00:00;0,0001168;0,0001178;0,0001181;0,0001156;59288;6,94
2017.10.11 12:00:00;0,0001178;0,0001181;0,0001192;0,0001171;87704;10,36
2017.10.11 13:00:00;0,0001181;0,0001192;0,0001194;0,0001177;61735;7,33
2017.10.11 14:00:00;0,0001192;0,0001226;0,0001226;0,0001188;84501;10,17
2017.10.11 15:00:00;0,0001226;0,0001207;0,0001226;0,00012;53877;6,51
2017.10.11 16:00:00;0,0001207;0,0001199;0,0001207;0,0001193;63984;7,69
2017.10.11 17:00:00;0,0001199;0,0001218;0,0001222;0,0001193;85351;10,38
2017.10.11 18:00:00;0,0001218;0,0001219;0,000123;0,000121;60777;7,41
2017.10.11 19:00:00;0,0001219;0,0001232;0,000125;0,0001216;69028;8,51
2017.10.11 20:00:00;0,0001232;0,000127;0,000128;0,0001231;67273;8,42
2017.10.11 21:00:00;0,000127;0,0001295;0,0001314;0,000127;102982;13,35
2017.10.11 22:00:00;0,0001295;0,0001297;0,0001307;0,0001288;72542;9,41
2017.10.11 23:00:00;0,0001297;0,0001273;0,0001302;0,000126;68946;8,84
2017.10.12 00:00:00;0,0001273;0,000125;0,000128;0,0001239;54615;6,92
2017.10.12 01:00:00;0,000125;0,000124;0,0001258;0,0001225;74732;9,29
2017.10.12 02:00:00;0,000124;0,0001221;0,000124;0,0001216;61086;7,49
2017.10.12 03:00:00;0,0001221;0,0001227;0,000124;0,0001216;90864;11,16
2017.10.12 04:00:00;0,0001227;0,0001242;0,000126;0,0001226;79748;9,9
2017.10.12 05:00:00;0,0001242;0,0001216;0,0001252;0,0001215;58241;7,16
2017.10.12 06:00:00;0,0001216;0,0001211;0,0001219;0,0001185;54323;6,56
2017.10.12 07:00:00;0,0001211;0,000118;0,0001212;0,000118;46014;5,53
2017.10.12 08:00:00;0,000118;0,0001143;0,000118;0,000112;70784;8,2
2017.10.12 09:00:00;0,0001143;0,0001131;0,0001148;0,000112;24136;2,73
2017.10.12 10:00:00;0,0001131;0,0001135;0,000114;0,0001131;2339;0,2658
2017.10.12 11:00:00;0,0001135;0,0001178;0,0001181;0,000113;56481;6,48
2017.10.12 12:00:00;0,0001178;0,0001188;0,0001225;0,0001172;57386;6,84
2017.10.12 13:00:00;0,0001188;0,0001181;0,0001201;0,0001167;94254;11,22
2017.10.12 14:00:00;0,0001181;0,0001183;0,0001193;0,0001164;58260;6,89
2017.10.12 15:00:00;0,0001183;0,0001165;0,00012;0,0001157;83821;9,86
2017.10.12 16:00:00;0,0001165;0,0001162;0,0001169;0,0001145;73222;8,47
2017.10.12 17:00:00;0,0001162;0,0001171;0,0001171;0,0001138;110446;12,72
2017.10.12 18:00:00;0,0001171;0,0001156;0,000118;0,0001145;84356;9,78
2017.10.12 19:00:00;0,0001156;0,0001153;0,0001163;0,0001145;82848;9,55
2017.10.12 20:00:00;0,0001153;0,0001168;0,0001168;0,0001138;83145;9,58
2017.10.12 21:00:00;0,0001168;0,000114;0,0001168;0,0001135;88172;10,13
2017.10.12 22:00:00;0,000114;0,0001129;0,0001153;0,0001129;82602;9,41
2017.10.12 23:00:00;0,0001129;0,0001079;0,0001141;0,0001078;122028;13,51
2017.10.13 00:00:00;0,0001079;0,0001048;0,0001089;0,0001031;117005;12,36
2017.10.13 01:00:00;0,0001048;0,0001035;0,0001065;0,0001035;93207;9,84
2017.10.13 02:00:00;0,0001035;0,0001031;0,0001049;0,00009974;104646;10,65
2017.10.13 03:00:00;0,0001031;0,0001027;0,0001059;0,0001022;96418;10
2017.10.13 04:00:00;0,0001027;0,0001024;0,0001037;0,0001002;74238;7,58
2017.10.13 05:00:00;0,0001024;0,0001085;0,0001093;0,0001024;133583;14,11
2017.10.13 06:00:00;0,0001085;0,0001098;0,0001122;0,000108;107638;11,91
2017.10.13 07:00:00;0,0001098;0,0001065;0,0001121;0,000105;90511;9,81
2017.10.13 08:00:00;0,0001065;0,0001089;0,00011;0,0001056;79991;8,6
2017.10.13 09:00:00;0,0001089;0,000108;0,0001099;0,0001069;67808;7,33
2017.10.13 10:00:00;0,000108;0,0001056;0,0001088;0,0001056;46862;5,05
2017.10.13 11:00:00;0,0001056;0,000106;0,0001086;0,0001054;87516;9,38
2017.10.13 12:00:00;0,000106;0,0001093;0,0001112;0,000106;110417;11,95
2017.10.13 13:00:00;0,0001093;0,0001083;0,0001102;0,0001078;25003;2,74
2017.10.13 14:00:00;0,0001083;0,0001052;0,0001083;0,0001033;43346;4,56
2017.10.13 15:00:00;0,0001052;0,000108;0,0001084;0,0000983;72636;7,54
2017.10.13 16:00:00;0,000108;0,0001074;0,000108;0,0001032;33733;3,6
2017.10.13 17:00:00;0,0001074;0,0001043;0,0001108;0,0001035;15783;1,67
2017.10.13 18:00:00;0,0001043;0,0001053;0,000112;0,0001043;34346;3,62
2017.10.13 19:00:00;0,0001053;0,0001085;0,0001115;0,0001053;30716;3,33
2017.10.13 20:00:00;0,0001085;0,0001064;0,0001103;0,0001061;22867;2,47
2017.10.13 21:00:00;0,0001064;0,000106;0,0001086;0,0001048;26213;2,79
2017.10.13 22:00:00;0,000106;0,0001064;0,0001105;0,0001052;26197;2,8
2017.10.13 23:00:00;0,0001064;0,0001068;0,0001096;0,0001036;37421;3,93
2017.10.14 00:00:00;0,0001068;0,000106;0,0001068;0,0001012;45420;4,73
2017.10.14 01:00:00;0,000106;0,0001058;0,0001084;0,0001033;33566;3,53
2017.10.14 02:00:00;0,0001058;0,0001041;0,0001083;0,0001037;43856;4,62
2017.10.14 03:00:00;0,0001041;0,0001046;0,0001083;0,0001037;28295;2,95
2017.10.14 04:00:00;0,0001046;0,000106;0,0001084;0,0001046;29067;3,07
2017.10.14 05:00:00;0,000106;0,0001061;0,0001084;0,000106;72238;7,8
2017.10.14 06:00:00;0,0001061;0,0001061;0,000108;0,0001061;52725;5,61
2017.10.14 07:00:00;0,0001061;0,0001069;0,000108;0,000106;55552;5,93
2017.10.14 08:00:00;0,0001069;0,0001096;0,00011;0,000106;38315;4,13
2017.10.14 09:00:00;0,0001096;0,00011;0,000114;0,000107;76323;8,5
2017.10.14 10:00:00;0,00011;0,0001123;0,0001137;0,0001073;56680;6,3
2017.10.14 11:00:00;0,0001123;0,0001045;0,0001123;0,000104;32397;3,42
2017.10.14 12:00:00;0,0001045;0,0001045;0,0001051;0,0001041;61384;6,43
2017.10.14 13:00:00;0,0001045;0,0001051;0,0001093;0,0001045;42285;4,44
2017.10.14 14:00:00;0,0001051;0,000106;0,0001094;0,000105;37238;3,94
2017.10.14 15:00:00;0,000106;0,0001055;0,0001084;0,0001054;57787;6,11
2017.10.14 16:00:00;0,0001055;0,0001037;0,0001084;0,0001036;71612;7,59
2017.10.14 17:00:00;0,0001037;0,0001041;0,0001055;0,0001037;47747;4,98
2017.10.14 18:00:00;0,0001041;0,000105;0,0001073;0,0001041;21088;2,21
2017.10.14 19:00:00;0,000105;0,0001046;0,0001061;0,0001046;21737;2,28
2017.10.14 20:00:00;0,0001046;0,0001076;0,0001076;0,0001046;24031;2,52
2017.10.14 21:00:00;0,0001076;0,0001035;0,0001076;0,0001032;60908;6,41
2017.10.14 22:00:00;0,0001035;0,000103;0,0001065;0,000103;40665;4,2
2017.10.14 23:00:00;0,000103;0,0001004;0,0001048;0,0001001;42624;4,34
2017.10.15 00:00:00;0,0001004;0,0001008;0,0001022;0,00009952;20109;2,01
2017.10.15 01:00:00;0,0001008;0,00009837;0,0001019;0,0000981;17499;1,74
2017.10.15 02:00:00;0,00009837;0,00009843;0,0001004;0,00009805;23954;2,37
2017.10.15 03:00:00;0,00009843;0,0001;0,0001012;0,00009843;36814;3,68
2017.10.15 04:00:00;0,0001;0,0001024;0,0001025;0,0001;24918;2,52
2017.10.15 05:00:00;0,0001024;0,0001015;0,0001024;0,0001001;16634;1,68
2017.10.15 06:00:00;0,0001015;0,0001018;0,000102;0,0001001;38122;3,82
2017.10.15 07:00:00;0,0001018;0,0001011;0,0001018;0,0001001;37713;3,79
2017.10.15 08:00:00;0,0001011;0,0001024;0,0001036;0,0001002;48248;4,92
2017.10.15 09:00:00;0,0001024;0,0001012;0,0001036;0,0001007;60006;6,11
2017.10.15 10:00:00;0,0001012;0,0001016;0,0001034;0,0001012;34483;3,51
2017.10.15 11:00:00;0,0001016;0,0001036;0,0001036;0,0001016;41430;4,28
2017.10.15 12:00:00;0,0001036;0,0001046;0,0001062;0,000103;79247;8,31
2017.10.15 13:00:00;0,0001046;0,000105;0,0001073;0,0001042;108053;11,44
2017.10.15 14:00:00;0,000105;0,0001045;0,0001054;0,0001036;103194;10,79
2017.10.15 15:00:00;0,0001045;0,0001045;0,0001062;0,0001029;74098;7,72
2017.10.15 16:00:00;0,0001045;0,0001045;0,0001058;0,0001037;100658;10,54
2017.10.15 17:00:00;0,0001045;0,000105;0,000105;0,0001037;103804;10,83
2017.10.15 18:00:00;0,000105;0,0001032;0,0001062;0,0001028;66355;6,89
2017.10.15 19:00:00;0,0001032;0,0001047;0,0001056;0,0001032;102221;10,66
2017.10.15 20:00:00;0,0001047;0,000104;0,0001047;0,0001038;136081;14,2
2017.10.15 21:00:00;0,000104;0,0001022;0,000104;0,0001022;105568;10,89
2017.10.15 22:00:00;0,0001022;0,0001001;0,0001032;0,0001001;109424;11,04
2017.10.15 23:00:00;0,0001001;0,0001014;0,0001015;0,0001;124164;12,47
2017.10.16 00:00:00;0,0001014;0,0001;0,0001021;0,0001;61505;6,17
2017.10.16 01:00:00;0,0001;0,0001018;0,0001024;0,0001;29246;2,97
2017.10.16 02:00:00;0,0001018;0,0001018;0,0001031;0,0001002;88118;8,94
2017.10.16 03:00:00;0,0001018;0,0001019;0,0001027;0,000101;90678;9,24
2017.10.16 04:00:00;0,0001019;0,0001023;0,0001024;0,0001002;63939;6,48
2017.10.16 05:00:00;0,0001023;0,0001013;0,0001023;0,0001002;53723;5,42
2017.10.16 06:00:00;0,0001013;0,000101;0,0001022;0,0001005;57822;5,88
2017.10.16 07:00:00;0,000101;0,0001007;0,0001022;0,0001005;81332;8,18
2017.10.16 08:00:00;0,0001007;0,0001017;0,0001024;0,0001002;64506;6,55
2017.10.16 09:00:00;0,0001017;0,0001023;0,0001025;0,0001012;131410;13,37
2017.10.16 10:00:00;0,0001023;0,0001025;0,0001057;0,0001011;88800;9,07
2017.10.16 11:00:00;0,0001025;0,0001005;0,0001025;0,0001002;114626;11,59
2017.10.16 12:00:00;0,0001005;0,0001006;0,0001011;0,0001001;101160;10,16
2017.10.16 13:00:00;0,0001006;0,0001002;0,000101;0,0001002;116691;11,75
2017.10.16 14:00:00;0,0001002;0,0001002;0,000101;0,0001001;107205;10,76
2017.10.16 15:00:00;0,0001002;0,000101;0,0001012;0,0001001;132569;13,33
2017.10.16 16:00:00;0,000101;0,000101;0,0001023;0,0001003;44127;4,45
2017.10.16 17:00:00;0,000101;0,000101;0,0001019;0,000101;83548;8,45
2017.10.16 18:00:00;0,000101;0,0001011;0,0001019;0,000101;88817;9
2017.10.16 19:00:00;0,0001011;0,0001005;0,0001017;0,0001005;82501;8,33
2017.10.16 20:00:00;0,0001005;0,0001;0,0001013;0,0001;121976;12,24
2017.10.16 21:00:00;0,0001;0,0001009;0,0001013;0,0001;103874;10,44
