time;open;close;high;low;volumefrom;volumeto
2016.05.25 00:00:00;0,00064;0,0004001;0,00064;0,0004001;27792,05;15,3
2016.05.25 01:00:00;0,0004001;0,000485;0,000485;0,00035;55286,95;23,09
2016.05.25 02:00:00;0,000485;0,0006104;0,0007899;0,000485;35492,9;22,12
2016.05.25 03:00:00;0,0006104;0,0005001;0,0006984;0,0005001;65146,79;41,84
2016.05.25 04:00:00;0,0005001;0,0005197;0,0005793;0,0004701;17745,51;9,17
2016.05.25 05:00:00;0,0005197;0,00055;0,0005854;0,000494;54815,68;29,69
2016.05.25 06:00:00;0,00055;0,00061;0,0006543;0,00054;32419,84;19,44
2016.05.25 07:00:00;0,00061;0,0006207;0,00074;0,0005903;49340,55;32,37
2016.05.25 08:00:00;0,0006207;0,000613;0,0006799;0,000613;40343,11;26,31
2016.05.25 09:00:00;0,000613;0,0005822;0,0006358;0,00055;60157;35,73
2016.05.25 10:00:00;0,0005822;0,0005641;0,0006269;0,00056;17320,45;10,21
2016.05.25 11:00:00;0,0005641;0,0005655;0,0005887;0,0005223;25283,82;14,37
2016.05.25 12:00:00;0,0005655;0,0005011;0,0005771;0,00048;43214,46;22,3
2016.05.25 13:00:00;0,0005011;0,000448;0,0005146;0,000448;38154,54;18,3
2016.05.25 14:00:00;0,000448;0,0004444;0,00046;0,0004122;32498,32;14,03
2016.05.25 15:00:00;0,0004444;0,0004973;0,000506;0,00044;36113,81;16,95
2016.05.25 16:00:00;0,0004973;0,0005016;0,0005501;0,000491;14470,83;7,54
2016.05.25 17:00:00;0,0005016;0,00052;0,000544;0,0005016;9643,92;5,09
2016.05.25 18:00:00;0,00052;0,00055;0,000588;0,00052;32855,48;18,65
2016.05.25 19:00:00;0,00055;0,00052;0,00057;0,00052;16112,62;8,59
2016.05.25 20:00:00;0,00052;0,000579;0,0005793;0,0005052;21973,15;11,98
2016.05.25 21:00:00;0,000579;0,0005993;0,0005993;0,0005517;19177,26;10,88
2016.05.25 22:00:00;0,0005993;0,000575;0,0006;0,000561;29708,4;17,16
2016.05.25 23:00:00;0,000575;0,0005937;0,0005991;0,000575;29427,94;17,33
2016.05.26 00:00:00;0,0005937;0,0006381;0,0006381;0,0005805;49749,5;29,87
2016.05.26 01:00:00;0,0006181;0,000682;0,000682;0,0006037;28259,81;17,83
2016.05.26 02:00:00;0,000682;0,00063;0,000682;0,0006103;20936,06;13,22
2016.05.26 03:00:00;0,00063;0,0007099;0,0007099;0,000625;24968,67;16,53
2016.05.26 04:00:00;0,0007099;0,000706;0,0007262;0,0006825;47889,81;33,77
2016.05.26 05:00:00;0,000706;0,00066;0,0007128;0,0006407;24444,11;16,2
2016.05.26 06:00:00;0,00066;0,0007094;0,000713;0,0006471;17365,96;11,72
2016.05.26 07:00:00;0,0007094;0,0006663;0,000712;0,000665;21812,66;15,33
2016.05.26 08:00:00;0,0006663;0,0006912;0,0006992;0,0006651;7685,29;5,15
2016.05.26 09:00:00;0,0006912;0,0007148;0,0007162;0,00068;13522,83;9,53
2016.05.26 10:00:00;0,0007148;0,0008;0,0008301;0,0007001;111993,85;86,5
2016.05.26 11:00:00;0,0008;0,0008407;0,0008936;0,0007952;52467,96;44,18
2016.05.26 12:00:00;0,0008407;0,0008492;0,0008797;0,00079;24527,07;20,81
2016.05.26 13:00:00;0,0008492;0,000835;0,00085;0,0007853;43635,74;36,12
2016.05.26 14:00:00;0,000835;0,000935;0,0009488;0,0008067;46884,39;40,73
2016.05.26 15:00:00;0,000935;0,00092;0,001057;0,0009001;118496,22;114,5
2016.05.26 16:00:00;0,00092;0,000978;0,0009894;0,000881;37044,51;34,92
