time;open;close;high;low;volumefrom;volumeto
2015.02.03 04:00:00;0,0079;0,007832;0,0079;0,007827;28,17;0,2211
2015.02.03 05:00:00;0,007832;0,007832;0,007832;0,007832;0;0
2015.02.03 06:00:00;0,007832;0,007832;0,007832;0,007832;0;0
2015.02.03 07:00:00;0,007832;0,007832;0,007832;0,007832;0;0
2015.02.03 08:00:00;0,007832;0,007846;0,008015;0,007832;1,58;0,01239
2015.02.03 09:00:00;0,007846;0,007952;0,007971;0,007846;20,18;0,16
2015.02.03 10:00:00;0,007952;0,008191;0,008191;0,007937;1,05;0,008358
2015.02.03 11:00:00;0,008191;0,007842;0,008191;0,007842;0,1069;0,0008381
2015.02.03 12:00:00;0,007842;0,007842;0,007842;0,007842;0,246;0,001929
2015.02.03 13:00:00;0,007842;0,007842;0,007842;0,007842;6,33;0,04964
2015.02.03 14:00:00;0,007842;0,007842;0,007847;0,007842;101,87;0,7989
2015.02.03 15:00:00;0,007847;0,007842;0,007847;0,007842;0,5497;0,00431
2015.02.03 16:00:00;0,007842;0,007903;0,007903;0,007842;0,1041;0,0008229
2015.02.03 17:00:00;0,007903;0,007843;0,007903;0,007843;1,58;0,01243
2015.02.03 18:00:00;0,007843;0,007896;0,007896;0,007842;47,38;0,3718
2015.02.03 19:00:00;0,007896;0,008077;0,008077;0,007896;3,9;0,03136
2015.02.03 20:00:00;0,008077;0,00809;0,00809;0,008077;2;0,01618
2015.02.03 21:00:00;0,00809;0,00809;0,00809;0,00809;0;0
2015.02.03 22:00:00;0,00809;0,008143;0,008149;0,00809;7,16;0,05804
2015.02.03 23:00:00;0,008143;0,008125;0,008143;0,008125;5,5;0,04467
2015.02.04 00:00:00;0,008125;0,008;0,008125;0,008;31,82;0,2546
2015.02.04 01:00:00;0,008;0,008;0,008;0,007889;26,29;0,209
2015.02.04 02:00:00;0,008;0,008115;0,008115;0,007849;122,04;0,9801
2015.02.04 03:00:00;0,008115;0,008001;0,008115;0,008001;0,6704;0,005364
2015.02.04 04:00:00;0,008001;0,008095;0,008095;0,008001;0,105;0,00085
2015.02.04 05:00:00;0,008095;0,008007;0,0081;0,008007;18,33;0,1474
2015.02.04 06:00:00;0,008007;0,008095;0,008095;0,008007;11,54;0,09343
2015.02.04 07:00:00;0,008095;0,008;0,008095;0,008;5,7;0,0456
2015.02.04 08:00:00;0,008;0,008;0,008;0,008;0;0
2015.02.04 09:00:00;0,008;0,00795;0,008;0,00795;0,4131;0,003284
2015.02.04 10:00:00;0,00795;0,00793;0,00795;0,00793;16,16;0,1283
2015.02.04 11:00:00;0,00793;0,007893;0,00793;0,007891;22,56;0,1781
2015.02.04 12:00:00;0,007893;0,008001;0,008001;0,007893;1,23;0,009828
2015.02.04 13:00:00;0,008001;0,00802;0,00802;0,008001;2,57;0,02064
2015.02.04 14:00:00;0,00802;0,00802;0,00802;0,00802;6,6;0,05292
2015.02.04 15:00:00;0,00802;0,00802;0,00802;0,00793;15,63;0,1248
2015.02.04 16:00:00;0,00802;0,00802;0,00802;0,00802;0,08488;0,0006808
2015.02.04 17:00:00;0,00802;0,00802;0,00802;0,00802;0;0
2015.02.04 18:00:00;0,00802;0,00802;0,00802;0,00802;0;0
2015.02.04 19:00:00;0,00802;0,007943;0,00802;0,007943;26,93;0,2148
2015.02.04 20:00:00;0,007943;0,00802;0,00802;0,007943;131,09;1,04
2015.02.04 21:00:00;0,00802;0,00802;0,00802;0,00802;0;0
2015.02.04 22:00:00;0,00802;0,007945;0,00802;0,007945;0,8071;0,006424
2015.02.04 23:00:00;0,007945;0,007945;0,007945;0,007945;0;0
2015.02.05 00:00:00;0,007945;0,007943;0,007945;0,007943;1,07;0,008493
2015.02.05 01:00:00;0,007943;0,008005;0,008006;0,007943;73,9;0,5909
2015.02.05 02:00:00;0,008005;0,008005;0,008005;0,008005;0;0
2015.02.05 03:00:00;0,008005;0,007943;0,008005;0,007943;9,24;0,07344
2015.02.05 04:00:00;0,007943;0,008003;0,008003;0,007943;0,1383;0,001107
2015.02.05 05:00:00;0,008003;0,008003;0,008003;0,008003;0;0
2015.02.05 06:00:00;0,008003;0,008003;0,008003;0,008003;0;0
2015.02.05 07:00:00;0,008003;0,007943;0,008003;0,007943;1,1;0,008726
2015.02.05 08:00:00;0,007943;0,007943;0,007943;0,007943;50;0,3972
2015.02.05 09:00:00;0,007943;0,007943;0,007943;0,007943;6,49;0,05157
2015.02.05 10:00:00;0,007943;0,00801;0,00801;0,007943;18,02;0,1435
2015.02.05 11:00:00;0,00801;0,00801;0,00801;0,00801;0;0
2015.02.05 12:00:00;0,00801;0,00801;0,00801;0,00801;1,11;0,008907
2015.02.05 13:00:00;0,00801;0,00801;0,00801;0,00801;3,74;0,02993
2015.02.05 14:00:00;0,00801;0,008009;0,00801;0,00795;8,99;0,07186
2015.02.05 15:00:00;0,008009;0,008009;0,008009;0,00795;21,29;0,1699
2015.02.05 16:00:00;0,008009;0,008038;0,008038;0,008009;59,81;0,4795
2015.02.05 17:00:00;0,008038;0,008023;0,008123;0,008022;70,43;0,5652
2015.02.05 18:00:00;0,008023;0,008117;0,008124;0,008023;182,71;1,48
2015.02.05 19:00:00;0,008117;0,008118;0,008123;0,00804;53,93;0,4359
2015.02.05 20:00:00;0,008118;0,00795;0,008118;0,00795;5,2;0,04138
2015.02.05 21:00:00;0,00795;0,00796;0,00809;0,00795;33,64;0,268
2015.02.05 22:00:00;0,00796;0,008071;0,008071;0,00796;0,08764;0,0007073
2015.02.05 23:00:00;0,008071;0,007933;0,008071;0,007933;312,53;2,48
2015.02.06 00:00:00;0,007933;0,007946;0,008059;0,007933;11,64;0,09242
2015.02.06 01:00:00;0,007946;0,008071;0,008071;0,007946;7,41;0,05978
2015.02.06 02:00:00;0,008071;0,008071;0,008071;0,008071;0;0
2015.02.06 03:00:00;0,008071;0,008071;0,008071;0,008071;0;0
2015.02.06 04:00:00;0,008071;0,008071;0,008071;0,008071;0;0
2015.02.06 05:00:00;0,008071;0,008071;0,008071;0,008071;0;0
2015.02.06 06:00:00;0,008071;0,008071;0,008071;0,008071;0;0
2015.02.06 07:00:00;0,008071;0,008071;0,008071;0,008071;0;0
2015.02.06 08:00:00;0,008071;0,008071;0,008071;0,008071;0;0
2015.02.06 09:00:00;0,008071;0,008071;0,008071;0,008071;0;0
2015.02.06 10:00:00;0,008071;0,008071;0,008071;0,008071;0;0
2015.02.06 11:00:00;0,008071;0,008071;0,008071;0,008071;0;0
2015.02.06 12:00:00;0,008071;0,00811;0,00818;0,008071;77,03;0,6242
2015.02.06 13:00:00;0,00811;0,00811;0,00811;0,0081;16,03;0,1299
2015.02.06 14:00:00;0,00811;0,0081;0,00811;0,0081;28,09;0,2276
2015.02.06 15:00:00;0,0081;0,008035;0,00811;0,008035;41,67;0,3376
2015.02.06 16:00:00;0,008035;0,00802;0,008177;0,007933;301,67;2,4
2015.02.06 17:00:00;0,00802;0,00808;0,00808;0,00802;34,41;0,2781
2015.02.06 18:00:00;0,00808;0,00808;0,00808;0,00805;3,31;0,02669
2015.02.06 19:00:00;0,00808;0,00802;0,00808;0,00802;34,06;0,2732
2015.02.06 20:00:00;0,00802;0,00802;0,00802;0,00802;2,5;0,02005
2015.02.06 21:00:00;0,00802;0,008021;0,008021;0,00802;0,1;0,0008024
2015.02.06 22:00:00;0,008021;0,008079;0,008086;0,008021;2,4;0,0194
2015.02.06 23:00:00;0,008079;0,008079;0,008079;0,008079;0;0
2015.02.07 00:00:00;0,008079;0,008079;0,008079;0,008079;0;0
2015.02.07 01:00:00;0,008079;0,008079;0,008079;0,008079;0;0
2015.02.07 02:00:00;0,008079;0,008079;0,008079;0,008079;0;0
2015.02.07 03:00:00;0,008079;0,008079;0,008079;0,008079;0;0
2015.02.07 04:00:00;0,008079;0,008079;0,008079;0,008079;0;0
2015.02.07 05:00:00;0,008079;0,008079;0,008079;0,008079;0;0
2015.02.07 06:00:00;0,008079;0,008079;0,008079;0,008079;0;0
2015.02.07 07:00:00;0,008079;0,00795;0,008079;0,007808;286,23;2,25
2015.02.07 08:00:00;0,00795;0,00796;0,00796;0,007913;16,6;0,1318
2015.02.07 09:00:00;0,00796;0,008034;0,008034;0,007874;141,03;1,12
2015.02.07 10:00:00;0,008034;0,007904;0,008034;0,007904;7,78;0,0615
2015.02.07 11:00:00;0,007904;0,008077;0,008077;0,007904;0,6269;0,005064
2015.02.07 12:00:00;0,008077;0,008077;0,008077;0,008077;0;0
2015.02.07 13:00:00;0,008077;0,008077;0,008077;0,008077;0;0
2015.02.07 14:00:00;0,008077;0,008077;0,008077;0,008077;0;0
2015.02.07 15:00:00;0,008077;0,008077;0,008077;0,008077;0;0
2015.02.07 16:00:00;0,008077;0,0081;0,0081;0,008077;46,03;0,3728
2015.02.07 17:00:00;0,0081;0,008004;0,0081;0,007997;1,1;0,008827
2015.02.07 18:00:00;0,008004;0,008003;0,008007;0,008003;0,578;0,004626
2015.02.07 19:00:00;0,008003;0,008003;0,008003;0,008003;0;0
2015.02.07 20:00:00;0,008003;0,008003;0,008003;0,008003;0;0
2015.02.07 21:00:00;0,008003;0,008003;0,008003;0,008003;0;0
2015.02.07 22:00:00;0,008003;0,008011;0,008013;0,007919;9,89;0,07879
2015.02.07 23:00:00;0,008011;0,007998;0,008011;0,0079;1,27;0,01014
2015.02.08 00:00:00;0,007998;0,0081;0,0081;0,007982;151;1,22
2015.02.08 01:00:00;0,0081;0,008;0,0081;0,008;48,63;0,389
2015.02.08 02:00:00;0,008;0,008039;0,008039;0,008;2,42;0,01945
2015.02.08 03:00:00;0,008039;0,008;0,008039;0,008;66;0,528
2015.02.08 04:00:00;0,008;0,008;0,008;0,007999;0,312;0,002496
2015.02.08 05:00:00;0,008;0,008;0,008;0,008;5,57;0,04456
2015.02.08 06:00:00;0,008;0,008;0,008;0,007925;32,72;0,2612
2015.02.08 07:00:00;0,008;0,007946;0,008;0,007946;0,7111;0,005651
2015.02.08 08:00:00;0,007946;0,007946;0,007946;0,007946;0;0
2015.02.08 09:00:00;0,007946;0,007946;0,007946;0,007946;0;0
2015.02.08 10:00:00;0,007946;0,007979;0,007979;0,0079;20,06;0,1587
2015.02.08 11:00:00;0,007979;0,007979;0,007979;0,007979;0;0
2015.02.08 12:00:00;0,007979;0,00794;0,007979;0,007915;6,68;0,05298
2015.02.08 13:00:00;0,00794;0,008099;0,008099;0,00794;16,25;0,1298
2015.02.08 14:00:00;0,008099;0,007941;0,008099;0,007941;5;0,03971
2015.02.08 15:00:00;0,007941;0,00798;0,00798;0,007941;1,4;0,01121
2015.02.08 16:00:00;0,00798;0,00798;0,00798;0,00798;0;0
2015.02.08 17:00:00;0,00798;0,00798;0,00798;0,00798;0;0
2015.02.08 18:00:00;0,00798;0,00798;0,00798;0,00798;0;0
2015.02.08 19:00:00;0,00798;0,00798;0,00798;0,00798;0;0
2015.02.08 20:00:00;0,00798;0,00798;0,00798;0,00798;0;0
2015.02.08 21:00:00;0,00798;0,00798;0,00798;0,00798;0;0
2015.02.08 22:00:00;0,00798;0,00798;0,00798;0,00798;0;0
2015.02.08 23:00:00;0,00798;0,008095;0,008095;0,007941;119,07;0,9518
2015.02.09 00:00:00;0,008095;0,007913;0,008095;0,007913;10,2;0,08105
2015.02.09 01:00:00;0,007913;0,00794;0,007947;0,007913;15,35;0,1219
2015.02.09 02:00:00;0,00794;0,00794;0,00794;0,00794;0;0
2015.02.09 03:00:00;0,00794;0,008046;0,008046;0,00794;2,3;0,01848
2015.02.09 04:00:00;0,008046;0,00794;0,008046;0,00794;4,06;0,03226
2015.02.09 05:00:00;0,00794;0,00794;0,00794;0,00794;0;0
2015.02.09 06:00:00;0,00794;0,008;0,008025;0,00794;105,35;0,8426
2015.02.09 07:00:00;0,008;0,008038;0,008038;0,008;2,18;0,01753
2015.02.09 08:00:00;0,008038;0,008038;0,008038;0,008038;0;0
2015.02.09 09:00:00;0,008038;0,00805;0,00805;0,007946;29,5;0,2354
2015.02.09 10:00:00;0,00805;0,008006;0,00805;0,008004;3,2;0,0256
2015.02.09 11:00:00;0,008006;0,008006;0,008006;0,008006;0;0
2015.02.09 12:00:00;0,008006;0,00791;0,008006;0,00791;18,26;0,1447
2015.02.09 13:00:00;0,00791;0,007932;0,007932;0,007895;20,02;0,1581
2015.02.09 14:00:00;0,007932;0,00789;0,007932;0,00789;5,5;0,0435
2015.02.09 15:00:00;0,00789;0,007928;0,007928;0,00789;11,21;0,08859
2015.02.09 16:00:00;0,007928;0,00792;0,007971;0,00792;6,21;0,04923
2015.02.09 17:00:00;0,00792;0,00792;0,007955;0,00792;2,57;0,02033
2015.02.09 18:00:00;0,00792;0,00789;0,007928;0,00789;46,89;0,3714
2015.02.09 19:00:00;0,00789;0,00792;0,00792;0,00789;1,24;0,009822
2015.02.09 20:00:00;0,00792;0,007957;0,007957;0,00789;40,06;0,3174
2015.02.09 21:00:00;0,007957;0,007891;0,007957;0,007891;182,21;1,45
2015.02.09 22:00:00;0,007891;0,007891;0,008;0,007891;76,48;0,6069
2015.02.09 23:00:00;0,007891;0,00796;0,00796;0,007891;2,91;0,02308
2015.02.10 00:00:00;0,00796;0,007891;0,00796;0,007891;8,2;0,06471
2015.02.10 01:00:00;0,007891;0,008006;0,008006;0,007891;9,12;0,07301
2015.02.10 02:00:00;0,008006;0,007964;0,008007;0,00788;72,46;0,5763
2015.02.10 03:00:00;0,007964;0,007961;0,007964;0,007961;4;0,03182
2015.02.10 04:00:00;0,007961;0,007912;0,008002;0,007906;26,69;0,211
2015.02.10 05:00:00;0,007912;0,007992;0,007992;0,007912;0,3613;0,002888
2015.02.10 06:00:00;0,007992;0,007892;0,007992;0,007892;12,93;0,1026
