time;open;close;high;low;volumefrom;volumeto
2016.10.07 06:00:00;0,04;0,02;0,04;0,02;2,06;0,06235
2016.10.07 07:00:00;0,02;0,0128;0,02;0,0128;2,38;0,0304
2016.10.07 08:00:00;0,0128;0,014;0,014;0,0128;38,05;0,5281
2016.10.07 09:00:00;0,014;0,01266;0,014;0,01266;85,56;1,1
2016.10.07 10:00:00;0,01266;0,01207;0,01344;0,01207;31,18;0,3786
2016.10.07 11:00:00;0,01207;0,01111;0,01207;0,01111;32,44;0,3652
2016.10.07 12:00:00;0,01111;0,01207;0,01207;0,01111;2,77;0,03346
2016.10.07 13:00:00;0,01207;0,01112;0,01207;0,01111;2,39;0,02708
2016.10.07 14:00:00;0,01112;0,0101;0,01207;0,0101;147,44;1,65
2016.10.07 15:00:00;0,0101;0,01201;0,01207;0,0101;96,49;1,16
2016.10.07 16:00:00;0,01201;0,01076;0,01201;0,01076;142,31;1,64
2016.10.07 17:00:00;0,01076;0,0115;0,01207;0,01076;20,06;0,2386
2016.10.07 18:00:00;0,0115;0,01086;0,01207;0,01086;5,31;0,06213
2016.10.07 19:00:00;0,01086;0,01089;0,01207;0,01086;28,23;0,3117
2016.10.07 20:00:00;0,01089;0,01146;0,01146;0,01089;9,46;0,1063
2016.10.07 21:00:00;0,01146;0,01099;0,01146;0,01099;1,6;0,01758
2016.10.07 22:00:00;0,01099;0,01086;0,01118;0,01086;72,96;0,8015
2016.10.07 23:00:00;0,01086;0,01116;0,01116;0,01086;3,29;0,03676
2016.10.08 00:00:00;0,01116;0,01076;0,01116;0,01076;0,1483;0,001595
2016.10.08 01:00:00;0,01114;0,01114;0,01114;0,01114;2,2;0,0245
2016.10.08 02:00:00;0,01114;0,01114;0,01114;0,01114;0;0
2016.10.08 03:00:00;0,01114;0,01114;0,01114;0,01114;0;0
2016.10.08 04:00:00;0,01114;0,01076;0,01114;0,01076;111,05;1,19
2016.10.08 05:00:00;0,01076;0,0103;0,0111;0,0102;6,86;0,07202
2016.10.08 06:00:00;0,0103;0,01078;0,01078;0,009681;37,38;0,375
2016.10.08 07:00:00;0,01078;0,009786;0,01078;0,009786;1;0,009786
