time;open;close;high;low;volumefrom;volumeto
2017.07.14 04:00:00;0,04029;0,08635;0,0864;0,04029;159,86;13,72
2017.07.14 05:00:00;0,08635;0,0854;0,08635;0,08458;109,61;9,38
2017.07.14 06:00:00;0,0854;0,0872;0,08738;0,0854;191,87;16,56
2017.07.14 07:00:00;0,0872;0,08859;0,08867;0,087;150,77;13,18
2017.07.14 08:00:00;0,08859;0,08889;0,08889;0,08625;78,66;6,95
2017.07.14 09:00:00;0,08889;0,08876;0,08927;0,0886;55,37;4,92
2017.07.14 10:00:00;0,08876;0,08859;0,0889;0,08834;46,84;4,15
2017.07.14 11:00:00;0,08859;0,08882;0,0889;0,08859;19,01;1,69
2017.07.14 12:00:00;0,08882;0,08748;0,08882;0,0874;66,27;5,84
2017.07.14 13:00:00;0,08748;0,08704;0,08768;0,08688;24,14;2,11
2017.07.14 14:00:00;0,08743;0,08717;0,08743;0,08645;137,12;11,91
2017.07.14 15:00:00;0,08717;0,08629;0,08717;0,08629;29,9;2,59
2017.07.14 16:00:00;0,08629;0,08678;0,08678;0,08548;49,21;4,25
2017.07.14 17:00:00;0,08678;0,08607;0,08678;0,08585;137,53;11,85
2017.07.14 18:00:00;0,08607;0,08784;0,08784;0,08607;35,34;3,05
2017.07.14 19:00:00;0,08784;0,0885;0,08871;0,08784;20,77;1,84
2017.07.14 20:00:00;0,0885;0,08937;0,08937;0,0885;5,9;0,5267
2017.07.14 21:00:00;0,08937;0,09;0,09;0,08937;0,174;0,01566
2017.07.14 22:00:00;0,09;0,09011;0,0903;0,09;8,18;0,7375
2017.07.14 23:00:00;0,09011;0,09099;0,09103;0,08994;410,02;36,98
2017.07.15 00:00:00;0,09099;0,09159;0,09257;0,09099;25,74;2,37
2017.07.15 01:00:00;0,09159;0,09159;0,09257;0,09159;8,17;0,755
2017.07.15 02:00:00;0,09159;0,09046;0,09159;0,08962;36,09;3,25
2017.07.15 03:00:00;0,09046;0,09107;0,09193;0,09025;45,72;4,16
2017.07.15 04:00:00;0,09107;0,09151;0,09151;0,09107;99,61;9,11
2017.07.15 05:00:00;0,09151;0,09136;0,09209;0,09061;105,92;9,69
2017.07.15 06:00:00;0,09136;0,09191;0,09258;0,09074;92,74;8,5
2017.07.15 07:00:00;0,09191;0,09255;0,09287;0,0916;120,02;11,05
2017.07.15 08:00:00;0,09255;0,09217;0,0937;0,09217;292,97;27,3
2017.07.15 09:00:00;0,09217;0,09166;0,09296;0,09161;269,97;24,89
2017.07.15 10:00:00;0,09166;0,09227;0,09255;0,09163;195,92;18,05
2017.07.15 11:00:00;0,09227;0,09266;0,093;0,09194;247,66;22,91
2017.07.15 12:00:00;0,09266;0,09295;0,09305;0,09208;183,15;16,95
2017.07.15 13:00:00;0,09295;0,09244;0,09295;0,09244;6,54;0,6052
2017.07.15 14:00:00;0,09244;0,09241;0,0925;0,09241;40,5;3,74
2017.07.15 15:00:00;0,09241;0,08996;0,09241;0,08929;152,22;13,7
2017.07.15 16:00:00;0,08996;0,08981;0,09042;0,08936;257,8;23,19
2017.07.15 17:00:00;0,08981;0,08965;0,08981;0,08866;220,89;19,71
2017.07.15 18:00:00;0,08965;0,08857;0,08988;0,08822;225,45;20,1
2017.07.15 19:00:00;0,08857;0,08898;0,08924;0,0883;195,58;17,36
2017.07.15 20:00:00;0,08898;0,08864;0,08944;0,08808;245,23;21,77
2017.07.15 21:00:00;0,08864;0,08837;0,08888;0,08808;241,58;21,37
2017.07.15 22:00:00;0,08837;0,08754;0,08844;0,08718;225,83;19,83
2017.07.15 23:00:00;0,08754;0,08764;0,08813;0,08713;201,21;17,63
2017.07.16 00:00:00;0,08764;0,08624;0,08764;0,08615;241,09;20,88
2017.07.16 01:00:00;0,08624;0,08592;0,08668;0,08547;216,02;18,6
2017.07.16 02:00:00;0,08592;0,08521;0,08636;0,08521;204,09;17,52
2017.07.16 03:00:00;0,08521;0,08402;0,08555;0,08332;285,07;24,03
2017.07.16 04:00:00;0,08402;0,08392;0,08464;0,08368;221,75;18,66
2017.07.16 05:00:00;0,08392;0,08177;0,08397;0,08162;223,74;18,47
2017.07.16 06:00:00;0,08177;0,08256;0,08329;0,0801;262,42;21,43
2017.07.16 07:00:00;0,08256;0,08131;0,08298;0,08125;205,44;16,86
2017.07.16 08:00:00;0,08131;0,0802;0,08169;0,08008;470,06;38,06
2017.07.16 09:00:00;0,0802;0,08136;0,0819;0,0799;469,83;37,85
2017.07.16 10:00:00;0,08136;0,07801;0,08177;0,07801;438,8;35,16
2017.07.16 11:00:00;0,07801;0,07634;0,07945;0,0761;664,23;51,45
2017.07.16 12:00:00;0,07634;0,07661;0,07817;0,07559;579,51;44,34
2017.07.16 13:00:00;0,07661;0,08124;0,08142;0,07602;624,15;49,21
2017.07.16 14:00:00;0,08124;0,07981;0,08132;0,07823;467,28;37,23
2017.07.16 15:00:00;0,07981;0,08163;0,08223;0,07967;482,03;39,24
2017.07.16 16:00:00;0,08163;0,0846;0,0852;0,08157;353,71;29,25
2017.07.16 17:00:00;0,0846;0,08335;0,08541;0,08331;240,78;20,3
2017.07.16 18:00:00;0,08335;0,0822;0,08367;0,08148;309,96;25,51
2017.07.16 19:00:00;0,0822;0,07922;0,0822;0,07908;319,8;25,73
2017.07.16 20:00:00;0,07922;0,08146;0,08199;0,07922;275,86;22,38
2017.07.16 21:00:00;0,08146;0,08126;0,08146;0,07991;253,12;20,4
2017.07.16 22:00:00;0,08126;0,08235;0,08363;0,0808;256,79;21,05
2017.07.16 23:00:00;0,08235;0,08224;0,08406;0,08148;290,56;24,07
2017.07.17 00:00:00;0,08224;0,08313;0,08356;0,0817;287,88;23,75
2017.07.17 01:00:00;0,08313;0,08456;0,08527;0,08269;306,4;25,74
2017.07.17 02:00:00;0,08456;0,08359;0,08528;0,08327;262,48;22,21
2017.07.17 03:00:00;0,08359;0,08451;0,08474;0,08247;314,32;26,28
2017.07.17 04:00:00;0,08451;0,08473;0,08625;0,0843;271,96;23,16
2017.07.17 05:00:00;0,08473;0,08543;0,08575;0,08388;265,33;22,5
2017.07.17 06:00:00;0,08543;0,08675;0,08718;0,08543;239,85;20,72
2017.07.17 07:00:00;0,08675;0,08734;0,08839;0,08609;244,8;21,31
2017.07.17 08:00:00;0,08734;0,08778;0,08819;0,08685;288,89;25,31
2017.07.17 09:00:00;0,08778;0,08774;0,08812;0,08624;217,46;18,96
2017.07.17 10:00:00;0,08774;0,08749;0,08816;0,08702;274,68;24,08
2017.07.17 11:00:00;0,08749;0,08517;0,08806;0,085;262,88;22,87
2017.07.17 12:00:00;0,08517;0,08507;0,08567;0,0834;277,47;23,42
2017.07.17 13:00:00;0,08507;0,08409;0,08601;0,08308;237,75;20,15
2017.07.17 14:00:00;0,08409;0,0858;0,0863;0,08324;286,72;24,25
2017.07.17 15:00:00;0,0858;0,08456;0,08671;0,08376;234,12;19,97
2017.07.17 16:00:00;0,08456;0,08493;0,0856;0,08438;249,93;21,24
2017.07.17 17:00:00;0,08493;0,08503;0,08597;0,08388;236,33;20,04
2017.07.17 18:00:00;0,08503;0,08409;0,08514;0,08384;229,44;19,4
2017.07.17 19:00:00;0,08409;0,08453;0,08495;0,0838;269,5;22,73
2017.07.17 20:00:00;0,08453;0,08614;0,08735;0,08426;280,83;24,08
2017.07.17 21:00:00;0,08614;0,0856;0,0872;0,08524;279,55;24,13
2017.07.17 22:00:00;0,0856;0,0874;0,08772;0,0856;247,93;21,48
2017.07.17 23:00:00;0,0874;0,08754;0,08813;0,08667;225,78;19,78
2017.07.18 00:00:00;0,08754;0,08682;0,0883;0,0865;279,74;24,48
2017.07.18 01:00:00;0,08682;0,08791;0,08791;0,08611;302,49;26,21
2017.07.18 02:00:00;0,08791;0,08653;0,08791;0,08615;241,66;20,99
2017.07.18 03:00:00;0,08653;0,08624;0,08663;0,08575;280,32;24,15
2017.07.18 04:00:00;0,08624;0,08604;0,08629;0,08478;273,23;23,42
2017.07.18 05:00:00;0,08604;0,08691;0,0872;0,08532;252,18;21,77
2017.07.18 06:00:00;0,08691;0,08648;0,08734;0,086;259,57;22,45
2017.07.18 07:00:00;0,08648;0,08657;0,08734;0,08604;250,16;21,7
2017.07.18 08:00:00;0,08657;0,0865;0,08724;0,08622;285,13;24,75
2017.07.18 09:00:00;0,0865;0,0878;0,08796;0,08646;269,02;23,42
2017.07.18 10:00:00;0,0878;0,08807;0,08826;0,08747;284,77;24,99
2017.07.18 11:00:00;0,08807;0,08805;0,08828;0,08775;236,56;20,82
2017.07.18 12:00:00;0,08805;0,08957;0,09;0,08805;297,81;26,5
2017.07.18 13:00:00;0,08957;0,08895;0,08972;0,08809;290,38;25,79
2017.07.18 14:00:00;0,08895;0,09429;0,09429;0,08867;352,39;32,09
2017.07.18 15:00:00;0,09429;0,09629;0,09828;0,09419;372,14;36,1
2017.07.18 16:00:00;0,09629;0,09535;0,09769;0,0937;365,58;34,99
2017.07.18 17:00:00;0,09535;0,09512;0,09636;0,0943;275,28;26,22
2017.07.18 18:00:00;0,09512;0,09869;0,09889;0,09482;283,3;27,3
2017.07.18 19:00:00;0,09869;0,1081;0,1081;0,09869;277,89;28,86
2017.07.18 20:00:00;0,1081;0,1084;0,1091;0,1074;279,83;30,38
2017.07.18 21:00:00;0,1084;0,1091;0,1091;0,1083;264,88;28,83
2017.07.18 22:00:00;0,1091;0,1082;0,1091;0,1082;238,39;25,95
2017.07.18 23:00:00;0,1082;0,1077;0,1091;0,1077;238,69;25,93
2017.07.19 00:00:00;0,1077;0,1084;0,1087;0,1076;233,38;25,25
2017.07.19 01:00:00;0,1084;0,1005;0,1085;0,09954;326,95;33,58
2017.07.19 02:00:00;0,1005;0,1004;0,1016;0,09955;264,75;26,66
2017.07.19 03:00:00;0,1004;0,1002;0,1027;0,09935;452,24;45,42
2017.07.19 04:00:00;0,1002;0,1005;0,1019;0,09901;334,74;33,57
2017.07.19 05:00:00;0,1005;0,1011;0,1015;0,09996;310,47;31,25
2017.07.19 06:00:00;0,1011;0,1019;0,102;0,1006;249,83;25,37
2017.07.19 07:00:00;0,1019;0,1034;0,1042;0,1016;291,13;30
2017.07.19 08:00:00;0,1034;0,1001;0,104;0,09974;255,74;26,04
2017.07.19 09:00:00;0,1001;0,1012;0,1017;0,0991;264,67;26,51
2017.07.19 10:00:00;0,1012;0,09982;0,1017;0,09961;210,69;21,25
2017.07.19 11:00:00;0,09982;0,09989;0,1007;0,09928;267,66;26,76
2017.07.19 12:00:00;0,09989;0,09923;0,09989;0,09836;291,06;28,84
2017.07.19 13:00:00;0,09923;0,09638;0,09923;0,09576;290,03;28,35
2017.07.19 14:00:00;0,09638;0,09864;0,1002;0,09581;279,58;27,38
2017.07.19 15:00:00;0,09864;0,09833;0,1004;0,0982;305,07;30,27
2017.07.19 16:00:00;0,09833;0,09926;0,09944;0,09778;234,16;23,06
