time;open;close;high;low;volumefrom;volumeto
2017.09.12 04:00:00;0,000641;0,002951;0,00335;0,000641;21739,45;66,31
2017.09.12 05:00:00;0,002951;0,003042;0,003102;0,0029;8997,43;26,95
2017.09.12 06:00:00;0,003042;0,003002;0,0031;0,00296;10604,65;31,86
2017.09.12 07:00:00;0,002977;0,002997;0,002997;0,002931;8423,03;25
2017.09.12 08:00:00;0,002997;0,002951;0,002997;0,00292;6264,02;18,53
2017.09.12 09:00:00;0,002969;0,002953;0,002974;0,002944;7295,21;21,59
2017.09.12 10:00:00;0,002953;0,002933;0,002967;0,00293;3905,66;11,49
2017.09.12 11:00:00;0,00299;0,002947;0,002995;0,002947;4265,56;12,63
2017.09.12 12:00:00;0,002947;0,002884;0,002947;0,002825;12046,71;34,91
2017.09.12 13:00:00;0,002884;0,002882;0,002924;0,00283;2775,6;7,99
2017.09.12 14:00:00;0,002882;0,002859;0,002924;0,00284;8583,11;24,66
2017.09.12 15:00:00;0,002859;0,002825;0,002878;0,002825;5108,99;14,56
2017.09.12 16:00:00;0,002825;0,002854;0,00288;0,002784;3598,77;10,2
2017.09.12 17:00:00;0,002854;0,00285;0,002912;0,00285;4083,95;11,78
2017.09.12 18:00:00;0,00285;0,002735;0,002853;0,0027;6550,36;18,1
2017.09.12 19:00:00;0,002735;0,002806;0,002813;0,002716;2161,09;5,97
2017.09.12 20:00:00;0,002806;0,002832;0,002878;0,002778;6911,25;19,55
2017.09.12 21:00:00;0,002832;0,002826;0,002865;0,00281;6343,82;18,07
2017.09.12 22:00:00;0,002826;0,002832;0,002864;0,002826;5400,6;15,32
2017.09.12 23:00:00;0,002832;0,002827;0,002849;0,002788;3419,52;9,65
2017.09.13 00:00:00;0,002827;0,002789;0,002828;0,002761;2514,61;7,03
2017.09.13 01:00:00;0,002789;0,002779;0,002804;0,002761;3543,6;9,86
2017.09.13 02:00:00;0,002779;0,002733;0,0028;0,002718;2993,89;8,24
2017.09.13 03:00:00;0,002733;0,002651;0,002789;0,002645;5227,09;14,23
2017.09.13 04:00:00;0,002651;0,002715;0,002715;0,002534;8231,62;21,56
2017.09.13 05:00:00;0,002715;0,002689;0,00272;0,002621;7954,7;21,3
2017.09.13 06:00:00;0,002689;0,002724;0,002724;0,002603;16365,74;43,88
2017.09.13 07:00:00;0,002724;0,002692;0,002724;0,002662;7389,63;19,86
2017.09.13 08:00:00;0,002692;0,002669;0,002696;0,002631;8268,39;21,99
2017.09.13 09:00:00;0,002669;0,002684;0,002714;0,002658;7488,25;20,14
2017.09.13 10:00:00;0,002684;0,002589;0,002684;0,002589;8815,07;23,3
2017.09.13 11:00:00;0,002589;0,002559;0,002623;0,002505;5779,53;14,82
2017.09.13 12:00:00;0,002559;0,002648;0,002649;0,002517;4992,23;12,95
2017.09.13 13:00:00;0,002648;0,002656;0,002657;0,002606;10005,02;26,37
2017.09.13 14:00:00;0,002656;0,002604;0,002657;0,002581;9967,29;26,11
2017.09.13 15:00:00;0,002605;0,002656;0,002666;0,002599;5203,85;13,64
2017.09.13 16:00:00;0,002656;0,00273;0,002755;0,002625;11497,93;30,51
2017.09.13 17:00:00;0,00273;0,002731;0,002827;0,002701;4450,64;12,22
2017.09.13 18:00:00;0,002731;0,002746;0,00275;0,002679;4741,89;12,88
2017.09.13 19:00:00;0,002746;0,00271;0,002752;0,002709;7083,6;19,36
2017.09.13 20:00:00;0,00271;0,002701;0,002756;0,00269;5801,82;15,74
2017.09.13 21:00:00;0,002701;0,002707;0,002759;0,002686;6160,61;16,76
2017.09.13 22:00:00;0,002707;0,002779;0,0028;0,002699;5131,41;14,13
2017.09.13 23:00:00;0,002779;0,002736;0,002779;0,002719;6859,61;18,74
2017.09.14 00:00:00;0,002736;0,002761;0,00277;0,002736;5787;15,93
2017.09.14 01:00:00;0,002761;0,002803;0,002804;0,002721;6185,05;17,24
2017.09.14 02:00:00;0,002803;0,002754;0,002844;0,002732;3022,92;8,44
2017.09.14 03:00:00;0,002754;0,002724;0,002795;0,002707;4678,49;12,84
2017.09.14 04:00:00;0,002724;0,002737;0,002754;0,0027;5889,91;16,11
2017.09.14 05:00:00;0,002737;0,002733;0,002756;0,00272;3230,63;8,84
2017.09.14 06:00:00;0,002733;0,002718;0,002753;0,002718;5474,7;14,98
2017.09.14 07:00:00;0,002718;0,002772;0,002779;0,00271;5245,52;14,43
2017.09.14 08:00:00;0,002772;0,00277;0,002799;0,0027;2947,74;8,16
2017.09.14 09:00:00;0,00277;0,002715;0,002779;0,002715;7270,43;20,1
2017.09.14 10:00:00;0,002715;0,002691;0,002738;0,002649;6830,07;18,33
2017.09.14 11:00:00;0,002691;0,002564;0,002721;0,002522;7800,34;20,28
2017.09.14 12:00:00;0,002564;0,002484;0,002667;0,002476;6178,33;15,88
2017.09.14 13:00:00;0,002484;0,002519;0,002609;0,002432;7368,74;18,3
2017.09.14 14:00:00;0,002561;0,002565;0,002605;0,00252;3516,35;9,03
2017.09.14 15:00:00;0,002565;0,002506;0,002566;0,002485;7120,46;17,94
2017.09.14 16:00:00;0,002506;0,002462;0,002523;0,002452;6481;16,19
2017.09.14 17:00:00;0,002462;0,002352;0,002478;0,00235;5482,97;13,27
2017.09.14 18:00:00;0,002352;0,002532;0,002627;0,002351;3020,2;7,51
2017.09.14 19:00:00;0,002532;0,002611;0,002654;0,002531;5427,16;14,17
2017.09.14 20:00:00;0,002611;0,002598;0,002642;0,002582;7770,71;20,26
2017.09.14 21:00:00;0,002598;0,002585;0,002607;0,002521;5313,04;13,61
2017.09.14 22:00:00;0,002585;0,002585;0,002749;0,002535;5329,16;14,09
2017.09.14 23:00:00;0,002585;0,002522;0,002689;0,002521;4832,71;12,54
2017.09.15 00:00:00;0,002522;0,002601;0,002604;0,002522;2488,57;6,44
2017.09.15 01:00:00;0,002601;0,002563;0,002728;0,002563;1692,98;4,47
2017.09.15 02:00:00;0,002563;0,002619;0,002658;0,00256;3615,04;9,46
2017.09.15 03:00:00;0,002619;0,002573;0,00263;0,002548;4306,37;11,14
2017.09.15 04:00:00;0,002573;0,002554;0,002589;0,002533;5556,45;14,28
2017.09.15 05:00:00;0,002554;0,002551;0,002568;0,002511;3622,79;9,21
2017.09.15 06:00:00;0,002551;0,002442;0,002577;0,00242;3719,01;9,36
2017.09.15 07:00:00;0,002442;0,002456;0,002488;0,00242;2854,44;7
2017.09.15 08:00:00;0,002456;0,00251;0,002544;0,00245;6244,18;15,66
2017.09.15 09:00:00;0,00251;0,002375;0,002511;0,002276;7815,35;18,81
2017.09.15 10:00:00;0,002375;0,002318;0,0024;0,0023;4102,95;9,65
2017.09.15 11:00:00;0,002318;0,002279;0,0024;0,002276;11352,72;26,03
2017.09.15 12:00:00;0,002279;0,00265;0,0027;0,002279;9166,45;23,84
2017.09.15 13:00:00;0,00265;0,002649;0,002713;0,002479;6565,75;17,09
2017.09.15 14:00:00;0,002785;0,002794;0,002794;0,002784;325,26;0,9074
2017.09.15 15:00:00;0,002794;0,002703;0,002794;0,002635;5004,8;13,53
2017.09.15 16:00:00;0,002703;0,002702;0,002818;0,002663;6074,03;16,62
2017.09.15 17:00:00;0,002702;0,002699;0,002766;0,00265;4007,29;10,86
2017.09.15 18:00:00;0,002699;0,002678;0,002734;0,002669;4957,26;13,4
2017.09.15 19:00:00;0,002678;0,002692;0,002754;0,002678;4587,27;12,42
2017.09.15 20:00:00;0,002692;0,002718;0,002731;0,002691;5350,7;14,51
2017.09.15 21:00:00;0,002718;0,002749;0,002757;0,002706;5287,63;14,45
2017.09.15 22:00:00;0,002749;0,002719;0,002759;0,00269;3224,72;8,81
2017.09.15 23:00:00;0,002719;0,002721;0,002733;0,002701;4478,52;12,15
2017.09.16 00:00:00;0,002721;0,002737;0,00274;0,00266;5049,2;13,71
2017.09.16 01:00:00;0,002737;0,002774;0,002819;0,002731;4232,75;11,68
2017.09.16 02:00:00;0,002774;0,002751;0,002814;0,002751;3177,64;8,83
2017.09.16 03:00:00;0,002751;0,002734;0,002779;0,002734;3692,54;10,15
2017.09.16 04:00:00;0,002734;0,002674;0,002739;0,00266;5763,4;15,57
2017.09.16 05:00:00;0,002674;0,002694;0,002724;0,00267;3791,99;10,23
2017.09.16 06:00:00;0,002694;0,002714;0,002715;0,002653;4913,58;13,21
2017.09.16 07:00:00;0,002714;0,002746;0,002759;0,002697;6069,06;16,57
2017.09.16 08:00:00;0,002746;0,002767;0,002779;0,002745;4669,57;12,89
2017.09.16 09:00:00;0,002767;0,002749;0,00277;0,002727;4716,17;13,01
2017.09.16 10:00:00;0,002749;0,002715;0,002763;0,0027;3950,19;10,71
2017.09.16 11:00:00;0,002715;0,002716;0,002777;0,002697;3935,67;10,72
2017.09.16 12:00:00;0,002716;0,002694;0,002719;0,002681;5339,56;14,4
2017.09.16 13:00:00;0,002694;0,002702;0,002726;0,002668;5776,45;15,53
2017.09.16 14:00:00;0,002708;0,002657;0,002722;0,002656;1454,35;3,94
2017.09.16 15:00:00;0,002657;0,002692;0,002703;0,002657;4518,29;12,16
2017.09.16 16:00:00;0,002692;0,002689;0,00271;0,002684;3378,84;9,12
2017.09.16 17:00:00;0,002689;0,002704;0,002708;0,002683;4536,05;12,22
2017.09.16 18:00:00;0,002704;0,002719;0,002734;0,002695;3745,05;10,14
2017.09.16 19:00:00;0,002719;0,002698;0,00274;0,002686;2502,39;6,79
2017.09.16 20:00:00;0,002698;0,002706;0,002714;0,0026;5144,69;13,86
2017.09.16 21:00:00;0,002706;0,002714;0,002728;0,002624;3734,7;10,09
2017.09.16 22:00:00;0,002714;0,002706;0,002728;0,002699;2397,2;6,5
2017.09.16 23:00:00;0,002706;0,002691;0,002719;0,00269;5116;13,83
2017.09.17 00:00:00;0,002691;0,002702;0,002718;0,002687;3199,3;8,63
2017.09.17 01:00:00;0,002702;0,002663;0,002702;0,002656;3864,23;10,31
2017.09.17 02:00:00;0,002663;0,002662;0,002679;0,002646;2007,59;5,35
2017.09.17 03:00:00;0,002662;0,002631;0,002679;0,002625;4981,89;13,26
2017.09.17 04:00:00;0,002631;0,002629;0,002631;0,002604;3613,46;9,47
2017.09.17 05:00:00;0,002629;0,002613;0,002644;0,002608;2160,04;5,65
2017.09.17 06:00:00;0,002613;0,002614;0,002631;0,002598;5523,72;14,43
2017.09.17 07:00:00;0,002614;0,002629;0,002631;0,002608;3790,23;9,94
2017.09.17 08:00:00;0,002629;0,002602;0,002629;0,002558;5300,32;13,81
2017.09.17 09:00:00;0,002602;0,002645;0,002654;0,002584;1399,29;3,66
2017.09.17 10:00:00;0,002645;0,002636;0,002655;0,002626;4518,75;11,93
2017.09.17 11:00:00;0,002636;0,002646;0,002669;0,002608;5223,94;13,81
2017.09.17 12:00:00;0,002646;0,002627;0,002647;0,002625;5061,69;13,35
2017.09.17 13:00:00;0,002627;0,002675;0,002675;0,002617;5445,03;14,42
2017.09.17 14:00:00;0,002675;0,002675;0,002694;0,002675;1109,2;2,97
2017.09.17 15:00:00;0,002666;0,002681;0,0027;0,002666;4262,12;11,43
2017.09.17 16:00:00;0,002681;0,002709;0,002709;0,002681;3928,78;10,58
2017.09.17 17:00:00;0,002709;0,002726;0,002734;0,002696;3033,38;8,23
2017.09.17 18:00:00;0,002726;0,002727;0,002745;0,002711;3579,17;9,77
2017.09.17 19:00:00;0,002727;0,00273;0,00276;0,002727;7453,23;20,42
2017.09.17 20:00:00;0,00273;0,002712;0,002739;0,002701;4240,81;11,52
2017.09.17 21:00:00;0,002712;0,002781;0,002781;0,002695;7964,31;21,6
2017.09.17 22:00:00;0,002781;0,00271;0,00279;0,002701;2856,78;7,81
2017.09.17 23:00:00;0,00271;0,002699;0,002711;0,002685;3672,91;9,9
2017.09.18 00:00:00;0,002699;0,002717;0,002718;0,002684;2845,52;7,67
2017.09.18 01:00:00;0,002717;0,002709;0,002722;0,002701;3081,99;8,37
2017.09.18 02:00:00;0,002709;0,002702;0,002733;0,002684;2147,07;5,81
2017.09.18 03:00:00;0,002702;0,002712;0,002719;0,00269;2756,94;7,45
2017.09.18 04:00:00;0,002712;0,002696;0,002714;0,002695;6357,56;17,21
2017.09.18 05:00:00;0,002696;0,002739;0,002749;0,002696;2047,92;5,58
2017.09.18 06:00:00;0,002739;0,002776;0,002791;0,002737;2822,36;7,77
2017.09.18 07:00:00;0,002776;0,002758;0,0028;0,002757;4390,96;12,23
2017.09.18 08:00:00;0,002758;0,002737;0,002766;0,002731;2420,43;6,64
2017.09.18 09:00:00;0,002737;0,002742;0,002769;0,00273;8038,38;22,11
2017.09.18 10:00:00;0,002742;0,002758;0,00276;0,002732;4644,75;12,78
2017.09.18 11:00:00;0,002758;0,002771;0,00278;0,002757;4606,83;12,73
2017.09.18 12:00:00;0,002771;0,002782;0,00279;0,002766;2020,02;5,61
2017.09.18 13:00:00;0,002782;0,002769;0,002789;0,002756;3298,51;9,16
2017.09.18 14:00:00;0,002769;0,002737;0,002769;0,002732;3878,11;10,65
2017.09.18 15:00:00;0,002737;0,002731;0,002748;0,002708;1484,63;4,04
2017.09.18 16:00:00;0,002744;0,002695;0,002754;0,002686;2523,96;6,85
2017.09.18 17:00:00;0,002695;0,002692;0,002699;0,002673;2478,41;6,66
2017.09.18 18:00:00;0,002692;0,002715;0,002739;0,002692;3945,49;10,74
2017.09.18 19:00:00;0,002715;0,002699;0,002715;0,002691;4315,6;11,66
2017.09.18 20:00:00;0,002699;0,002689;0,002709;0,002678;2929,9;7,89
2017.09.18 21:00:00;0,002689;0,002675;0,002694;0,002675;5379,46;14,41
2017.09.18 22:00:00;0,002675;0,002686;0,00271;0,002675;4131,43;11,09
2017.09.18 23:00:00;0,002686;0,002691;0,002699;0,002676;5914,72;15,92
2017.09.19 00:00:00;0,002691;0,002696;0,002728;0,002676;4196,33;11,29
2017.09.19 01:00:00;0,002696;0,002679;0,002696;0,002665;2335,3;6,27
2017.09.19 02:00:00;0,002679;0,002666;0,002679;0,002651;2450,59;6,54
2017.09.19 03:00:00;0,002666;0,002644;0,002666;0,002632;5628,98;14,89
2017.09.19 04:00:00;0,002644;0,00264;0,002669;0,00264;4051,6;10,75
2017.09.19 05:00:00;0,00264;0,002621;0,00264;0,002571;4939,43;12,88
2017.09.19 06:00:00;0,002621;0,002654;0,002655;0,002613;1872,15;4,93
2017.09.19 07:00:00;0,002654;0,002626;0,002662;0,002625;5745,65;15,16
2017.09.19 08:00:00;0,002626;0,002598;0,002635;0,002595;5988,42;15,62
2017.09.19 09:00:00;0,002598;0,002593;0,002613;0,002583;4244,41;11,03
2017.09.19 10:00:00;0,002593;0,002631;0,002645;0,00259;4147,24;10,87
2017.09.19 11:00:00;0,002631;0,00264;0,002652;0,002602;3385,99;8,91
2017.09.19 12:00:00;0,00264;0,002631;0,002644;0,002623;3356,7;8,83
2017.09.19 13:00:00;0,002631;0,002598;0,002639;0,002582;5714,79;14,84
2017.09.19 14:00:00;0,002598;0,002589;0,002628;0,002582;1886,5;4,9
2017.09.19 15:00:00;0,002589;0,002571;0,002598;0,00257;5773,39;14,92
2017.09.19 16:00:00;0,002571;0,002593;0,002601;0,002571;4138,57;10,69
2017.09.19 17:00:00;0,002593;0,002597;0,002597;0,00257;3486,95;9,02
2017.09.19 18:00:00;0,002587;0,002604;0,002613;0,002577;2087,37;5,42
2017.09.19 19:00:00;0,002604;0,002568;0,002604;0,002568;3382,86;8,75
2017.09.19 20:00:00;0,002568;0,002542;0,002568;0,002513;3517,33;8,92
2017.09.19 21:00:00;0,002542;0,002486;0,002555;0,002461;3001,47;7,54
2017.09.19 22:00:00;0,002486;0,0025;0,002532;0,002484;3682,45;9,23
2017.09.19 23:00:00;0,0025;0,002523;0,002568;0,0025;5348,12;13,54
2017.09.20 00:00:00;0,002523;0,002527;0,002553;0,002498;2365,69;5,97
2017.09.20 01:00:00;0,002527;0,002503;0,002539;0,002492;4091,81;10,24
2017.09.20 02:00:00;0,002503;0,002519;0,002555;0,002493;4072,25;10,28
2017.09.20 03:00:00;0,002519;0,002506;0,002531;0,002503;2714,08;6,82
2017.09.20 04:00:00;0,002506;0,002482;0,002511;0,002455;5970,77;14,83
2017.09.20 05:00:00;0,002482;0,002471;0,002482;0,002418;2089,61;5,1
2017.09.20 06:00:00;0,002471;0,002494;0,002511;0,002442;3150,76;7,78
2017.09.20 07:00:00;0,002494;0,002502;0,002512;0,002482;6361,33;15,93
2017.09.20 08:00:00;0,002502;0,002481;0,002512;0,002467;3292,27;8,24
2017.09.20 09:00:00;0,002481;0,002467;0,002491;0,00245;867,49;2,14
2017.09.20 10:00:00;0,002467;0,002442;0,00247;0,002421;935,84;2,29
2017.09.20 11:00:00;0,002442;0,002449;0,002469;0,002434;991,5;2,44
2017.09.20 12:00:00;0,002449;0,002461;0,002482;0,002419;889,76;2,18
2017.09.20 13:00:00;0,002461;0,002441;0,002477;0,002434;734,85;1,79
2017.09.20 14:00:00;0,002441;0,002458;0,002479;0,002412;983,91;2,41
2017.09.20 15:00:00;0,002458;0,002408;0,002458;0,0024;948,19;2,29
2017.09.20 16:00:00;0,002408;0,002416;0,002417;0,002385;674,18;1,62
2017.09.20 17:00:00;0,002416;0,002401;0,002417;0,002386;1323,72;3,19
2017.09.20 18:00:00;0,002401;0,002387;0,002406;0,002385;838,22;2
2017.09.20 19:00:00;0,002387;0,002366;0,002414;0,002366;1130,88;2,71
2017.09.20 20:00:00;0,002366;0,002341;0,002366;0,002321;395,1;0,9248
2017.09.20 21:00:00;0,002341;0,002334;0,002358;0,002322;215,86;0,5047
2017.09.20 22:00:00;0,002334;0,002342;0,00238;0,0023;2156,86;5,06
2017.09.20 23:00:00;0,002342;0,002349;0,002376;0,002336;804,2;1,89
2017.09.21 00:00:00;0,002349;0,002307;0,002364;0,002305;1645,5;3,84
2017.09.21 01:00:00;0,002307;0,002277;0,002326;0,002276;4669,13;10,65
2017.09.21 02:00:00;0,002277;0,002351;0,002351;0,002277;277,49;0,6387
2017.09.21 03:00:00;0,002351;0,002295;0,002366;0,002295;1006,73;2,35
2017.09.21 04:00:00;0,002295;0,00241;0,002445;0,002278;1365,48;3,21
2017.09.21 05:00:00;0,00241;0,002421;0,002461;0,002376;1709,79;4,18
2017.09.21 06:00:00;0,002421;0,00237;0,00244;0,002359;960,77;2,29
2017.09.21 07:00:00;0,00237;0,002386;0,002389;0,002359;1200,74;2,85
2017.09.21 08:00:00;0,002386;0,00237;0,002386;0,002343;1312,13;3,1
2017.09.21 09:00:00;0,00237;0,002335;0,00237;0,002277;672,39;1,57
2017.09.21 10:00:00;0,002346;0,002337;0,002346;0,002333;256,3;0,5992
2017.09.21 11:00:00;0,002337;0,002315;0,002337;0,002315;1370,18;3,2
2017.09.21 12:00:00;0,002315;0,002321;0,002336;0,002309;1286,76;2,99
2017.09.21 13:00:00;0,002321;0,002325;0,002326;0,002307;1215,79;2,82
2017.09.21 14:00:00;0,002325;0,00229;0,002345;0,002285;1939,24;4,51
2017.09.21 15:00:00;0,00229;0,002263;0,00229;0,002208;8649,06;19,65
2017.09.21 16:00:00;0,002263;0,002239;0,002271;0,002177;3675,94;8,17
2017.09.21 17:00:00;0,002239;0,002224;0,002271;0,002224;5710,66;12,85
2017.09.21 18:00:00;0,002224;0,002222;0,00225;0,002204;3577,82;7,96
2017.09.21 19:00:00;0,002222;0,002143;0,002223;0,002142;3570,13;7,76
2017.09.21 20:00:00;0,002143;0,002212;0,002239;0,002122;3022,45;6,59
2017.09.21 21:00:00;0,002212;0,002248;0,002277;0,002212;4042,41;9,09
2017.09.21 22:00:00;0,002248;0,002238;0,002289;0,002226;5048,69;11,38
2017.09.21 23:00:00;0,002238;0,002254;0,002272;0,002215;4634,35;10,37
2017.09.22 00:00:00;0,002254;0,002239;0,002255;0,002212;4033,89;9,04
2017.09.22 01:00:00;0,002239;0,002304;0,002353;0,002239;6234,9;14,3
