time;open;close;high;low;volumefrom;volumeto
2017.07.14 18:00:00;10;2,58;10;0,225;0,2718;0,3005
2017.07.14 19:00:00;2,58;0,95;2,58;0,9245;6,6;6,44
2017.07.14 20:00:00;0,95;0,89;0,95;0,89;0,2266;0,2016
2017.07.14 21:00:00;0,89;0,89;0,95;0,89;0,2694;0,255
2017.07.14 22:00:00;0,89;0,89;0,89;0,89;0;0
2017.07.14 23:00:00;0,89;0,89;0,89;0,89;0;0
2017.07.15 00:00:00;0,89;0,89;0,89;0,89;0;0
2017.07.15 01:00:00;0,89;0,89;0,89;0,89;0,2858;0,2544
2017.07.15 02:00:00;0,89;0,89;0,89;0,89;0;0
2017.07.15 03:00:00;0,89;0,91;0,91;0,89;0,8988;0,809
2017.07.15 04:00:00;0,91;0,89;0,95;0,89;15,39;14,05
2017.07.15 05:00:00;0,89;0,89;0,89;0,89;0;0
2017.07.15 06:00:00;0,89;0,89;0,89;0,89;3,97;3,54
2017.07.15 07:00:00;0,89;0,88;0,89;0,88;4,58;4,03
2017.07.15 08:00:00;0,88;0,9398;0,94;0,88;5,47;5,11
2017.07.15 09:00:00;0,9398;0,9398;0,9398;0,9398;0;0
2017.07.15 10:00:00;0,9398;0,9398;0,9398;0,9398;0;0
2017.07.15 11:00:00;0,9398;0,89;0,9398;0,89;5,76;5,24
2017.07.15 12:00:00;0,89;0,91;0,91;0,89;0,6949;0,6186
2017.07.15 13:00:00;0,91;0,91;0,91;0,91;0;0
2017.07.15 14:00:00;0,91;0,88;0,91;0,88;11,07;9,84
2017.07.15 15:00:00;0,88;0,89;0,89;0,88;0,2384;0,2116
2017.07.15 16:00:00;0,89;0,9;0,9;0,89;1,02;0,9191
2017.07.15 17:00:00;0,9;0,9398;0,9398;0,9;87,54;80,24
2017.07.15 18:00:00;0,9398;0,93;0,9398;0,93;1,21;1,13
2017.07.15 19:00:00;0,93;0,93;0,93;0,93;8,75;8,14
2017.07.15 20:00:00;0,93;0,93;0,93;0,93;0,6921;0,6436
2017.07.15 21:00:00;0,93;0,9398;0,9398;0,93;0,09944;0,09345
2017.07.15 22:00:00;0,9398;0,9398;0,9398;0,9398;0,1439;0,1352
2017.07.15 23:00:00;0,9398;0,95;0,95;0,9398;28,01;26,61
2017.07.16 00:00:00;0,95;0,95;0,95;0,95;0;0
2017.07.16 01:00:00;0,95;0,9498;0,95;0,9467;0,33;0,3126
2017.07.16 02:00:00;0,9498;0,94;0,95;0,94;0,06094;0,05749
2017.07.16 03:00:00;0,94;0,95;0,95;0,94;0,5151;0,4893
2017.07.16 04:00:00;0,95;0,9548;0,98;0,95;0,2297;0,2195
2017.07.16 05:00:00;0,9548;0,98;0,98;0,9548;14,23;13,93
2017.07.16 06:00:00;0,98;0,9999;1;0,98;0,07603;0,07603
2017.07.16 07:00:00;0,9999;0,9556;0,9999;0,9555;2,43;2,32
2017.07.16 08:00:00;0,9556;0,997;0,997;0,9556;2,15;2,12
2017.07.16 09:00:00;0,997;0,96;0,997;0,959;2,18;2,16
2017.07.16 10:00:00;0,96;0,997;0,997;0,96;6;5,97
2017.07.16 11:00:00;0,997;1;1;0,997;3,35;3,35
2017.07.16 12:00:00;1;1;1;1;0,478;0,4781
2017.07.16 13:00:00;1;1;1,04;1;17,85;18,07
2017.07.16 14:00:00;1;1;1,01;0,9968;1,87;1,88
2017.07.16 15:00:00;1;0,976;1,09;0,97;1,54;1,55
2017.07.16 16:00:00;0,976;0,96;0,976;0,96;5,95;5,73
2017.07.16 17:00:00;0,96;0,99;0,99;0,96;4,65;4,6
2017.07.16 18:00:00;0,99;0,99;0,9989;0,99;35,4;35,32
2017.07.16 19:00:00;0,99;1,02;1,05;0,99;34,34;35,33
2017.07.16 20:00:00;1,02;1,02;1,02;1,02;0,07989;0,08117
2017.07.16 21:00:00;1,02;1,02;1,02;1;2,03;2,05
2017.07.16 22:00:00;1,02;1;1,02;0,9989;1,1;1,1
2017.07.16 23:00:00;1;1,05;1,05;1;110,29;115,53
2017.07.17 00:00:00;1,05;1,06;1,07;1;0,1807;0,191
2017.07.17 01:00:00;1,06;1;1,07;1;0,3996;0,4192
2017.07.17 02:00:00;1;1;1;1;8,7;8,7
2017.07.17 03:00:00;1;1;1;1;0,5785;0,5785
2017.07.17 04:00:00;1;0,9989;1,02;0,9989;63,89;63,89
2017.07.17 05:00:00;0,9989;0,9956;0,9989;0,9956;0,0168;0,01673
2017.07.17 06:00:00;0,9956;0,99;0,9956;0,99;5,77;5,71
2017.07.17 07:00:00;0,99;0,9989;0,9989;0,97;2,32;2,29
2017.07.17 08:00:00;0,9989;0,97;0,9989;0,97;0,518;0,5025
2017.07.17 09:00:00;0,97;0,97;0,97;0,97;0,2223;0,2157
2017.07.17 10:00:00;0,97;0,97;0,9989;0,97;46,46;46,38
2017.07.17 11:00:00;0,97;1;1;0,97;1,57;1,55
2017.07.17 12:00:00;1;0,97;1,03;0,97;11,3;11,04
2017.07.17 13:00:00;0,97;1;1;0,97;0,1678;0,1671
2017.07.17 14:00:00;1;1;1;1;7,26;7,26
2017.07.17 15:00:00;1;1;1;1;0;0
2017.07.17 16:00:00;1;1;1;1;0;0
2017.07.17 17:00:00;1;1;1;1;0;0
2017.07.17 18:00:00;1;0,975;1;0,975;0,7231;0,705
2017.07.17 19:00:00;0,975;0,98;0,98;0,975;1,56;1,53
2017.07.17 20:00:00;0,98;0,9611;0,9881;0,9611;38,8;37,8
2017.07.17 21:00:00;0,9611;0,96;0,9611;0,96;0,3479;0,3341
2017.07.17 22:00:00;0,96;0,96;0,96;0,96;0;0
2017.07.17 23:00:00;0,96;0,9528;0,9617;0,9528;23,38;22,44
2017.07.18 00:00:00;0,9528;0,9505;0,9528;0,95;1,08;1,02
2017.07.18 01:00:00;0,9505;0,951;0,9547;0,9505;0,7755;0,7376
2017.07.18 02:00:00;0,951;0,9707;0,9707;0,951;1,53;1,48
2017.07.18 03:00:00;0,9707;0,9707;0,9707;0,9707;0;0
2017.07.18 04:00:00;0,9707;0,95;0,9707;0,95;0,0059;0,005605
2017.07.18 05:00:00;0,95;0,9434;0,9501;0,9434;3,78;3,59
2017.07.18 06:00:00;0,9434;0,94;0,955;0,94;2,08;1,96
2017.07.18 07:00:00;0,94;0,935;0,94;0,935;2,96;2,78
2017.07.18 08:00:00;0,935;0,9376;0,9376;0,935;0,09456;0,08852
2017.07.18 09:00:00;0,9376;0,9376;0,9376;0,9376;0,0151;0,01416
2017.07.18 10:00:00;0,9376;0,9355;0,9376;0,9355;0,08044;0,0754
2017.07.18 11:00:00;0,9355;0,9707;0,9707;0,9355;0,341;0,3307
2017.07.18 12:00:00;0,9707;0,993;0,993;0,9707;7,93;7,84
2017.07.18 13:00:00;0,993;0,9509;0,993;0,9509;0,08898;0,08461
2017.07.18 14:00:00;0,9509;0,9524;1;0,9509;2,99;2,95
2017.07.18 15:00:00;0,9524;0,9434;0,9811;0,9434;9,43;9,02
2017.07.18 16:00:00;0,9434;0,9355;0,95;0,9355;1,45;1,37
2017.07.18 17:00:00;0,9355;0,95;0,95;0,9355;2,33;2,2
2017.07.18 18:00:00;0,95;0,9093;0,95;0,9093;45,47;42,39
2017.07.18 19:00:00;0,9093;0,93;0,93;0,87;9,52;8,63
2017.07.18 20:00:00;0,93;0,857;0,93;0,856;11,52;10,02
2017.07.18 21:00:00;0,857;0,8328;0,89;0,82;7,08;5,86
2017.07.18 22:00:00;0,8328;0,9025;0,9025;0,8328;0,1;0,09025
2017.07.18 23:00:00;0,9025;0,9075;0,9075;0,855;0,3744;0,3259
2017.07.19 00:00:00;0,9075;0,855;0,9075;0,855;0,1041;0,08897
2017.07.19 01:00:00;0,855;0,855;0,855;0,855;0;0
2017.07.19 02:00:00;0,855;0,855;0,855;0,855;0,3373;0,2884
2017.07.19 03:00:00;0,855;0,855;0,855;0,855;0;0
2017.07.19 04:00:00;0,855;0,9015;0,9015;0,855;0,4112;0,3707
2017.07.19 05:00:00;0,9015;0,9015;0,9015;0,9015;0;0
2017.07.19 06:00:00;0,9015;0,8864;0,9015;0,855;16,77;15,09
2017.07.19 07:00:00;0,8864;0,8626;0,8864;0,8626;0,9138;0,7892
2017.07.19 08:00:00;0,8626;0,928;0,928;0,8626;1,78;1,64
